,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
median_Examscore(%),69.445,69.445,8.334999999999999,8.334999999999999,13.89,16.67,16.67,8.334999999999999,11.11,19.445,16.67,16.67,11.11,16.67,86.11,16.67,8.334999999999999,11.11,11.11,8.334999999999999,11.11,8.334999999999999,11.11,38.89
mean_Examscore(%),45.51192307692308,45.51192307692308,14.96038461538462,22.00923076923076,13.890000000000002,23.718461538461536,23.291538461538455,22.00923076923076,27.99269230769231,23.71846153846153,23.718461538461536,23.718461538461536,23.290000000000003,23.718461538461536,59.82884615384614,23.718461538461536,10.259615384615389,10.685384615384617,12.394230769230772,10.259615384615389,12.394230769230772,10.259615384615389,12.607692307692307,41.240384615384606
sd_Examscore(%),30.991772717188116,30.991772717188116,17.620507479813224,18.818358466790226,7.241070086665366,17.673740903907742,18.050819303800626,18.818358466790226,35.01219359682478,18.75744155098081,17.673740903907742,17.673740903907742,17.776289826620175,17.673740903907742,44.06241539697279,17.673740903907742,5.137520398611947,8.737045372787867,7.583240559590299,5.137520398611947,7.583240559590299,5.137520398611947,7.460284878041753,22.231340486937665
Total_acc1,2.0,2.0,13.0,13.0,9.0,9.0,11.0,13.0,7.0,13.0,9.0,9.0,7.0,9.0,2.0,9.0,13.0,12.0,12.0,13.0,12.0,13.0,11.0,0.0
Total_acc2,11.0,11.0,15.0,15.0,13.0,11.0,11.0,15.0,18.0,13.0,11.0,11.0,15.0,11.0,11.0,11.0,17.0,24.0,17.0,17.0,17.0,17.0,17.0,0.0
Total_acc3,11.0,11.0,24.0,15.0,17.0,15.0,15.0,15.0,20.0,13.0,15.0,15.0,15.0,15.0,11.0,15.0,26.0,24.0,17.0,26.0,17.0,26.0,17.0,0.0
Total_acc5,11.0,11.0,24.0,15.0,26.0,15.0,15.0,15.0,20.0,13.0,15.0,15.0,15.0,15.0,11.0,15.0,26.0,24.0,26.0,26.0,26.0,26.0,26.0,10.0
rate_acc1,0.07692307692307693,0.07692307692307693,0.5,0.5,0.34615384615384615,0.34615384615384615,0.4230769230769231,0.5,0.2692307692307692,0.5,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.07692307692307693,0.34615384615384615,0.5,0.46153846153846156,0.46153846153846156,0.5,0.46153846153846156,0.5,0.4230769230769231,0.0
rate_acc2,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.5769230769230769,0.5,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.6923076923076923,0.5,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.6538461538461539,0.9230769230769231,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0
rate_acc3,0.4230769230769231,0.4230769230769231,0.9230769230769231,0.5769230769230769,0.6538461538461539,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.7692307692307693,0.5,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.4230769230769231,0.5769230769230769,1.0,0.9230769230769231,0.6538461538461539,1.0,0.6538461538461539,1.0,0.6538461538461539,0.0
rate_acc5,0.4230769230769231,0.4230769230769231,0.9230769230769231,0.5769230769230769,1.0,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.7692307692307693,0.5,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.4230769230769231,0.5769230769230769,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.38461538461538464
