,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,89,19,3,479,2498,1,1718,combine
INRESMut163_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut98_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut100_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut59_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,18.0
INRESMut152_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut63_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut1_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0
INRESMut153_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut156_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut175_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut184_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut159_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut200_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,18.0
INRESMut56_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0
INRESMut195_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut125_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut94_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
INRESMut67_T3,1.0,1.0,2.0,7.0,2.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0
INRESMut5_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut147_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,7.0
INRESMut123_T2,13.0,13.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
INRESMut46_T3,1.0,1.0,2.0,7.0,2.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0
INRESMut158_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0
INRESMut137_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
