,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,29,2997,1797,1665,combine
median_Examscore(%),57.815,45.315,48.44,67.185,60.94,67.185,67.185,67.185,60.94,68.75,67.185,68.75,67.185,67.185,57.815,67.185,45.315,57.815,48.44,46.88,45.315,45.315
mean_Examscore(%),51.68269230769231,43.14884615384615,45.674230769230775,64.42192307692306,58.174615384615386,64.42192307692306,64.42192307692306,64.42192307692306,58.174615384615386,60.33653846153846,64.18115384615383,64.3026923076923,64.42192307692306,64.42192307692306,51.68269230769231,64.18115384615383,42.307307692307695,55.16807692307692,45.915,42.42923076923077,43.14884615384615,42.78807692307692
sd_Examscore(%),29.26448872715084,25.754510180071073,24.400010028371206,24.400506555271473,24.52812577116633,24.400506555271473,24.400506555271473,24.400506555271473,24.52812577116633,29.231613426878464,24.128912835338948,24.353663963796873,24.400506555271473,24.400506555271473,29.26448872715084,24.128912835338948,24.128725545737773,24.74779295520807,24.980873683680482,24.354392445401206,25.754510180071073,24.98034635776386
Total_acc1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0
Total_acc2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,2.0,2.0
Total_acc3,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,3.0,4.0,4.0
Total_acc5,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,4.0,5.0,5.0,5.0
rate_acc1,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693
rate_acc2,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693
rate_acc3,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.15384615384615385
rate_acc5,0.15384615384615385,0.19230769230769232,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.19230769230769232,0.19230769230769232
