,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,29,2997,1797,1665,combine
InFlightMut151_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,3.0,7.0,4.0,4.0,3.0,3.0
InFlightMut156_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,16.0,20.0,17.0,17.0,16.0,16.0
InFlightMut190_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,11.0,15.0,12.0,12.0,11.0,11.0
InFlightMut26_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,5.0,2.0,2.0,1.0,1.0
InFlightMut168_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut17_T10,9.0,7.0,8.0,14.0,12.0,14.0,14.0,14.0,12.0,13.0,14.0,15.0,14.0,14.0,9.0,14.0,7.0,11.0,8.0,8.0,7.0,7.0
InFlightMut169_T20,19.0,15.0,16.0,22.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,22.0,22.0,19.0,22.0,15.0,19.0,16.0,16.0,15.0,15.0
InFlightMut115_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,14.0,18.0,15.0,15.0,14.0,14.0
InFlightMut188_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,6.0,10.0,7.0,7.0,6.0,6.0
InFlightMut124_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,3.0,7.0,4.0,4.0,3.0,3.0
InFlightMut16_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut31_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,9.0,13.0,10.0,10.0,9.0,9.0
InFlightMut173_T14,13.0,10.0,11.0,17.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,18.0,17.0,17.0,13.0,17.0,10.0,14.0,11.0,11.0,10.0,10.0
InFlightMut183_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,5.0,2.0,2.0,1.0,1.0
InFlightMut163_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,6.0,10.0,7.0,7.0,6.0,6.0
InFlightMut23_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,24.0,28.0,25.0,25.0,24.0,24.0
InFlightMut103_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,22.0,19.0,19.0,18.0,18.0
InFlightMut187_T27,32.0,32.0,21.0,27.0,32.0,27.0,27.0,27.0,32.0,4.0,32.0,8.0,27.0,27.0,32.0,32.0,25.0,32.0,30.0,1.0,32.0,29.0
InFlightMut128_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut39_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,22.0,19.0,19.0,18.0,18.0
InFlightMut145_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,21.0,25.0,22.0,22.0,21.0,21.0
InFlightMut102_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,26.0,23.0,23.0,22.0,22.0
InFlightMut147_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,5.0,9.0,6.0,6.0,5.0,5.0
InFlightMut137_T23,21.0,17.0,18.0,24.0,22.0,24.0,24.0,24.0,22.0,25.0,24.0,25.0,24.0,24.0,21.0,24.0,17.0,21.0,18.0,18.0,17.0,17.0
InFlightMut41_T28,24.0,20.0,22.0,28.0,25.0,28.0,28.0,28.0,25.0,28.0,27.0,28.0,28.0,28.0,24.0,27.0,20.0,24.0,21.0,21.0,20.0,20.0
InFlightMut15_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,14.0,18.0,15.0,15.0,14.0,14.0
