,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,658,1162,2205,45,28,combine
median_Examscore(%),28.4,28.4,28.4,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.4,32.1,29.63,29.63,29.63,29.63,29.63,30.86
mean_Examscore(%),43.79809523809523,43.739523809523796,40.32857142857143,39.09428571428572,40.44619047619047,39.09428571428572,39.21190476190476,39.09428571428572,39.09428571428572,39.0352380952381,39.09428571428572,39.09428571428572,39.09428571428572,39.09428571428572,43.91571428571427,39.09428571428572,36.56619047619048,36.56619047619048,36.56619047619048,37.1552380952381,36.56619047619048,42.91476190476192
sd_Examscore(%),32.246815597675315,32.31021192691105,31.372165893625244,29.908366483549145,31.26157905099973,29.908366483549145,29.756485447553715,29.908366483549145,29.908366483549145,29.952208869972786,29.908366483549145,29.908366483549145,29.908366483549145,29.908366483549145,32.451742722298995,29.908366483549145,29.803398040523913,29.803398040523913,29.803398040523913,29.295335911890074,29.803398040523913,31.097453532250455
Total_acc1,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0
Total_acc2,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
Total_acc3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
Total_acc5,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
rate_acc1,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0
rate_acc2,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616
rate_acc3,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616
rate_acc5,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523
