,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1295,83,3,96,1261,1229,23,combine
median_Examscore(%),67.395,65.22,60.870000000000005,28.259999999999998,41.305,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,28.259999999999998,76.08500000000001,28.259999999999998,39.129999999999995,67.395,28.259999999999998,30.435000000000002,28.259999999999998,28.259999999999998,41.305,65.22,58.695
mean_Examscore(%),61.23208333333333,60.507499999999986,51.44916666666666,36.41375,45.833333333333336,36.41375,36.41375,36.41375,37.319583333333334,37.31916666666667,36.232499999999995,36.232499999999995,36.41375,36.232499999999995,66.1225,36.232499999999995,41.486250000000005,57.78916666666668,38.225833333333334,41.48541666666667,38.95000000000001,38.95,45.10958333333334,54.710416666666674,58.15125
sd_Examscore(%),26.61462804372432,26.178562794775424,32.09519751650063,28.97611532347168,34.4013478839403,28.97611532347168,28.97611532347168,28.97611532347168,30.17380356464811,28.979850108633084,29.056991712689467,29.056991712689467,28.97611532347168,29.056991712689467,30.067182203395348,29.056991712689467,33.627870145810284,33.73832847031718,31.167724515101764,31.325041514829586,32.063826834991914,32.06382683499192,34.32524124861124,32.049614184636575,33.721411378026374
Total_acc1,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0
Total_acc2,1.0,1.0,4.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,3.0,7.0,4.0,7.0,7.0,7.0,4.0,2.0
Total_acc3,1.0,1.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,4.0,8.0,6.0,8.0,8.0,8.0,4.0,3.0
Total_acc5,2.0,2.0,6.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,2.0,11.0,10.0,5.0,10.0,10.0,11.0,11.0,9.0,5.0,6.0
rate_acc1,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.041666666666666664
rate_acc2,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.125,0.2916666666666667,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.08333333333333333
rate_acc3,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.125
rate_acc5,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.375,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.08333333333333333,0.4583333333333333,0.4166666666666667,0.20833333333333334,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.4583333333333333,0.375,0.20833333333333334,0.25
