,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,333,1890,2,1,4,8,1627,6,combine
median_Examscore(%),52.68,52.68,52.68,50.89,52.68,52.68,52.68,51.79,51.79,52.68,52.68,52.68,52.68,52.68,52.68,52.68,47.77,56.7,48.66,48.66,49.55,48.66,49.11,47.77,56.25
mean_Examscore(%),45.33959999999999,46.037199999999984,44.7324,46.14200000000001,46.10759999999999,46.10759999999999,46.10759999999999,53.59000000000001,45.60679999999999,46.10759999999999,46.179199999999994,46.179199999999994,48.05439999999998,46.19679999999998,46.143199999999986,46.196799999999996,41.4116,56.5172,41.69600000000001,41.91040000000001,42.64240000000001,41.8392,42.48239999999999,41.232800000000005,47.4648
sd_Examscore(%),32.69026237276171,31.952278938024644,33.37663719829585,31.466986933398417,31.880552102078365,31.880552102078365,31.880552102078365,26.221166386464706,31.475168085333557,31.880552102078365,31.815341021798485,31.815341021798485,29.83905495599126,31.83144995126675,31.85389166700567,31.76951129096365,30.731751045674788,29.885365080587523,31.385941651212782,31.1262771464883,31.285266138125362,30.983018725316835,31.716842828377484,30.7274023362427,32.65564692361797
Total_acc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total_acc2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Total_acc3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
Total_acc5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,1
rate_acc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rate_acc2,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
rate_acc3,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0.04,0.04,0,0,0
rate_acc5,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0.04,0,0.08,0.04,0.04,0,0.04,0
