,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,55,2,14,45,28,combine
median_Examscore(%),35.09,35.09,35.09,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33
mean_Examscore(%),62.59954545454545,62.59954545454545,62.59954545454545,20.653181818181814,62.59954545454545,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,62.59954545454545,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814,20.653181818181814
sd_Examscore(%),34.352479147698695,34.352479147698695,34.352479147698695,16.80136995161651,34.352479147698695,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,34.352479147698695,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651,16.80136995161651
Total_acc1,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc2,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc3,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc5,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rate_acc1,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
rate_acc2,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc3,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc5,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
