,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,24,5,1247,1526,1011,8,9,combine
median_Examscore(%),38.1,38.1,38.1,38.095,38.1,30.95,30.95,38.095,38.1,66.67,54.760000000000005,66.67,30.95,35.715,38.1,40.480000000000004,33.33,33.335,28.57,30.95,30.95,35.715,38.1,35.715
mean_Examscore(%),43.09525,42.857,43.21425,42.14224999999998,42.976249999999986,39.16624999999999,39.16624999999999,42.14224999999998,41.7855,62.38124999999999,50.71400000000001,62.2615,40.11874999999999,41.07149999999998,42.26174999999999,47.73999999999999,41.90499999999998,40.00024999999998,37.38074999999999,42.50124999999999,38.92874999999999,41.547749999999986,43.92874999999998,42.02424999999998
sd_Examscore(%),25.65341242732956,24.988970407987637,25.06754484490418,23.416582715882,27.923697562767785,25.846777876605127,25.846777876605127,23.416582715882,30.490120127421857,30.113102624596607,26.558170774204214,26.576652617644953,24.53996930049487,24.05672000043828,30.292884828255445,27.777221806401936,26.28679165255082,28.383852441539307,27.546845823209818,28.84321065626257,29.133996459110907,26.76393195668475,26.336623441414652,29.43188763364469
Total_acc1,4.0,1.0,1.0,2.0,2.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,2.0,3.0,3.0,2.0,2.0
Total_acc2,6.0,6.0,6.0,4.0,7.0,8.0,8.0,4.0,7.0,4.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,7.0,8.0,4.0,9.0,4.0,3.0,7.0
Total_acc3,9.0,8.0,9.0,6.0,10.0,10.0,10.0,6.0,8.0,4.0,4.0,5.0,9.0,6.0,8.0,6.0,8.0,8.0,10.0,9.0,11.0,7.0,4.0,12.0
Total_acc5,12.0,13.0,12.0,13.0,12.0,15.0,15.0,13.0,17.0,8.0,9.0,5.0,14.0,14.0,17.0,11.0,12.0,17.0,19.0,19.0,19.0,13.0,16.0,17.0
rate_acc1,0.1,0.025,0.025,0.05,0.05,0.15,0.15,0.05,0.15,0.05,0.05,0.025,0.05,0.05,0.1,0.05,0.075,0.15,0.075,0.05,0.075,0.075,0.05,0.05
rate_acc2,0.15,0.15,0.15,0.1,0.175,0.2,0.2,0.1,0.175,0.1,0.075,0.125,0.1,0.1,0.15,0.1,0.1,0.175,0.2,0.1,0.225,0.1,0.075,0.175
rate_acc3,0.225,0.2,0.225,0.15,0.25,0.25,0.25,0.15,0.2,0.1,0.1,0.125,0.225,0.15,0.2,0.15,0.2,0.2,0.25,0.225,0.275,0.175,0.1,0.3
rate_acc5,0.3,0.325,0.3,0.325,0.3,0.375,0.375,0.325,0.425,0.2,0.225,0.125,0.35,0.35,0.425,0.275,0.3,0.425,0.475,0.475,0.475,0.325,0.4,0.425
