,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2512,720,2510,combine
median_Examscore(%),45.68,45.68,28.4,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,45.68,32.1,30.86,29.63,29.63,29.63
mean_Examscore(%),48.794761904761906,48.677142857142854,36.09571428571429,38.91714285714286,36.21333333333333,38.91714285714286,39.15238095238095,38.91714285714286,38.91714285714286,38.91714285714286,38.91714285714286,38.91714285714286,38.91714285714286,38.91714285714286,48.911904761904765,38.91714285714286,41.444761904761904,36.97666666666667,36.97666666666667,36.97666666666667
sd_Examscore(%),32.372712061093615,32.19076577884676,29.475145558831187,30.594904664479206,29.333647801344675,30.594904664479206,30.298229800561273,30.594904664479206,30.594904664479206,30.594904664479206,30.594904664479206,30.594904664479206,30.594904664479206,30.594904664479206,32.55481003155258,30.594904664479206,31.266701236147,29.896090101104082,29.896090101104082,29.896090101104082
Total_acc1,2.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0
Total_acc2,2.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0
Total_acc3,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0
Total_acc5,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0
rate_acc1,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808
rate_acc2,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808
rate_acc3,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808
rate_acc5,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808
