,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2218,1041,1725,2301,combine
MLSMut119_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0
MLSMut173_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0
MLSMut184_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0
MLSMut11_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut16_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut150_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,19.0,19.0,19.0
MLSMut15_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0
MLSMut136_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut137_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0
MLSMut159_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0
MLSMut103_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut128_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0
MLSMut122_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0
MLSMut116_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0
MLSMut133_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0
MLSMut22_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0
MLSMut183_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0
MLSMut17_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,19.0,19.0,19.0
MLSMut149_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0
MLSMut178_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0
