,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,246,1468,1346,2160,306,combine
MLSMut11_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut101_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0
MLSMut19_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut200_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut184_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0
MLSMut21_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut133_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,40.0,39.0,39.0,39.0
MLSMut115_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MLSMut16_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut197_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
MLSMut187_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
MLSMut22_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
MLSMut132_T69,65.0,65.0,66.0,69.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,69.0,67.0,67.0,68.0,67.0,67.0,67.0
MLSMut104_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut177_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
MLSMut134_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut172_T11,9.0,8.0,9.0,15.0,11.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,9.0,15.0,10.0,11.0,11.0,9.0,10.0,9.0
MLSMut111_T69,65.0,65.0,66.0,69.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,69.0,67.0,67.0,68.0,67.0,67.0,67.0
MLSMut114_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,50.0,49.0,49.0,49.0
MLSMut154_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,25.0,26.0,25.0,25.0,25.0
MLSMut129_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,75.0,74.0,74.0,74.0
