,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1856,2694,2616,2106,245,2412,combine
median_Examscore(%),58.02,58.02,29.63,33.33,29.63,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,58.02,33.33,30.86,32.1,30.86,30.86,30.86,29.63,30.86
mean_Examscore(%),47.38333333333332,47.38333333333332,39.33,37.564285714285724,39.33,37.564285714285724,37.79952380952382,37.564285714285724,37.564285714285724,37.564285714285724,37.564285714285724,37.564285714285724,37.564285714285724,37.564285714285724,47.559523809523796,37.564285714285724,35.68238095238096,36.62476190476192,35.68238095238096,35.68238095238096,35.68238095238096,39.27095238095238,35.68238095238096
sd_Examscore(%),28.98089290089823,28.98089290089823,27.316768842599235,26.068931234599656,27.316768842599235,26.068931234599656,25.7330920171266,26.068931234599656,26.068931234599656,26.068931234599656,26.068931234599656,26.068931234599656,26.068931234599656,26.068931234599656,29.297430173342935,26.068931234599656,25.22270185859594,25.645002752787455,25.22270185859594,25.22270185859594,25.22270185859594,27.182871795445365,25.22270185859594
Total_acc1,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc2,2.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
Total_acc3,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
Total_acc5,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
rate_acc1,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc2,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808
rate_acc3,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808
rate_acc5,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.23809523809523808
