,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1856,2694,2616,2106,245,2412,combine
MLSMut22_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut158_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0
MLSMut199_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,20.0,19.0,19.0,19.0,18.0,19.0
MLSMut198_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut134_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut182_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0
MLSMut178_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut108_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0
MLSMut177_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut189_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut12_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut153_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut148_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,25.0,24.0,24.0,24.0,23.0,24.0
MLSMut146_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut160_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0
MLSMut193_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,79.0,2.0
MLSMut109_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,25.0,24.0,24.0,24.0,23.0,24.0
MLSMut169_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,25.0,24.0,24.0,24.0,23.0,24.0
MLSMut188_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0
MLSMut147_T69,65.0,65.0,66.0,69.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,69.0,67.0,68.0,67.0,67.0,67.0,66.0,67.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
