,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2824,1470,1868,1365,1265,1711,1949,combine
median_Examscore(%),45.68,45.68,28.4,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,45.68,32.1,29.63,29.63,29.63,30.86,29.63,29.63,29.63,29.63
mean_Examscore(%),50.970952380952376,50.970952380952376,38.44761904761905,36.86095238095239,38.44761904761905,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,36.86095238095239,51.20571428571428,36.86095238095239,34.80285714285714,34.80285714285714,34.80285714285714,35.74142857142858,34.80285714285714,34.80285714285714,34.80285714285714,34.80285714285714
sd_Examscore(%),29.722736062610707,29.722736062610707,27.68154816927007,26.02228293304834,27.68154816927007,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,26.02228293304834,30.102935499952256,26.02228293304834,25.418340847281346,25.418340847281346,25.418340847281346,25.801319595267664,25.418340847281346,25.418340847281346,25.418340847281346,25.418340847281346
Total_acc1,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Total_acc2,0.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc3,0.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc5,0.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
rate_acc1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rate_acc2,0.0,0.0,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc3,0.0,0.0,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc5,0.0,0.0,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
