,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),66.67,66.67,16.67,11.11,8.335,8.335,5.56,11.11,11.11,33.33,8.335,8.335,11.11,8.335,72.22,8.335,5.56
mean_Examscore(%),47.43538462,47.43538462,25.21615385,21.79461538,13.03576923,21.58192308,21.36846154,21.79461538,29.70192308,26.49538462,21.58192308,21.58192308,22.435,21.58192308,59.82846154,21.58192308,9.833076923
sd_Examscore(%),29.36523785,29.36523785,26.72091362,18.38339234,8.000393577,18.67614329,18.83169067,18.38339234,32.77062746,17.65575696,18.67614329,18.67614329,17.87720364,18.67614329,40.56162045,18.67614329,5.512103605
Total_acc1,0,0,10,10,13,13,14,10,7,10,13,13,7,13,0,13,13
Total_acc2,10,10,10,16,14,14,14,16,18,10,14,14,16,14,10,14,16
Total_acc3,10,10,20,16,16,16,16,16,18,10,16,16,16,16,10,16,26
Total_acc5,10,10,20,16,26,16,16,16,18,12,16,16,16,16,10,16,26
rate_acc1,0,0,0.384615385,0.384615385,0.5,0.5,0.538461538,0.384615385,0.269230769,0.384615385,0.5,0.5,0.269230769,0.5,0,0.5,0.615384615
rate_acc2,0.384615385,0.384615385,0.384615385,0.615384615,0.538461538,0.538461538,0.538461538,0.615384615,0.692307692,0.384615385,0.538461538,0.538461538,0.615384615,0.538461538,0.384615385,0.538461538,0.615384615
rate_acc3,0.384615385,0.384615385,0.769230769,0.615384615,0.615384615,0.615384615,0.615384615,0.615384615,0.692307692,0.384615385,0.615384615,0.615384615,0.615384615,0.615384615,0.384615385,0.615384615,1
rate_acc5,0.384615385,0.384615385,0.769230769,0.615384615,1,0.615384615,0.615384615,0.615384615,0.692307692,0.461538462,0.615384615,0.615384615,0.615384615,0.615384615,0.384615385,0.615384615,1
