,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),59.375,51.56,54.685,73.44,62.5,73.44,73.44,73.44,67.185,76.56,73.44,76.56,73.44,73.44,59.375,73.44,53.12
mean_Examscore(%),50.12076923076923,41.34538461538462,45.31269230769231,64.18230769230769,56.61115384615384,64.18230769230769,64.18230769230769,64.18230769230769,57.33192307692308,62.98115384615385,63.34076923076922,66.34538461538462,64.18230769230769,64.18230769230769,50.12076923076923,63.34076923076922,44.35115384615385
sd_Examscore(%),28.565787638092804,24.17967232710472,25.17498163775971,25.236935203418394,24.065950773143882,25.236935203418394,25.236935203418394,25.236935203418394,24.4300686890939,28.704973412553173,24.247122868179954,24.17967232710472,25.236935203418394,25.236935203418394,28.565787638092804,24.247122868179954,24.12570816816337
Total_acc1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Total_acc2,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Total_acc3,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
Total_acc5,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
rate_acc1,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
rate_acc2,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693
rate_acc3,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385
rate_acc5,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385
