,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),12.5,12.5,25,43.75,25,50,50,43.75,25,81.25,62.5,68.75,43.75,50,12.5,50,12.5
mean_Examscore(%),26.35869565,26.35869565,25.81521739,45.92391304,33.15217391,44.83695652,44.83695652,45.92391304,34.23913043,69.29347826,57.06521739,63.58695652,46.19565217,44.83695652,35.86956522,44.83695652,18.20652174
sd_Examscore(%),25.85056695,25.85056695,6.667798817,17.88356396,13.99836084,19.28875733,19.28875733,17.88356396,26.67119527,33.82004272,31.4744356,37.25159271,17.45421893,19.28875733,34.72198068,19.28875733,8.622693628
Total_acc1,29,29,5,5,7,7,7,5,16,5,8,7,4,7,29,7,28
Total_acc2,37,37,38,9,25,12,12,9,28,9,12,12,9,12,29,12,41
Total_acc3,37,37,46,23,30,22,22,23,34,15,22,22,23,22,30,22,46
Total_acc5,42,42,46,46,46,46,46,46,41,22,23,23,46,46,37,46,46
rate_acc1,0.630434783,0.630434783,0.108695652,0.108695652,0.152173913,0.152173913,0.152173913,0.108695652,0.347826087,0.108695652,0.173913043,0.152173913,0.086956522,0.152173913,0.630434783,0.152173913,0.652173913
rate_acc2,0.804347826,0.804347826,0.826086957,0.195652174,0.543478261,0.260869565,0.260869565,0.195652174,0.608695652,0.195652174,0.260869565,0.260869565,0.195652174,0.260869565,0.630434783,0.260869565,0.891304348
rate_acc3,0.804347826,0.804347826,1,0.5,0.652173913,0.47826087,0.47826087,0.5,0.739130435,0.326086957,0.47826087,0.47826087,0.5,0.47826087,0.652173913,0.47826087,1
rate_acc5,0.913043478,0.913043478,1,1,1,1,1,1,0.891304348,0.47826087,0.5,0.5,1,1,0.804347826,1,1
