,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
class2Mut161_T13,2.0,2.0,2.0,14.0,4.0,14.0,14.0,14.0,2.0,21.0,19.0,21.0,14.0,14.0,2.0,6.0,5.0
class2Mut162_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,10.0,7.0,8.0,13.0,8.0,1.0
class2Mut163_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0
class2Mut164_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,8.0,9.0,15.0,15.0,11.0,14.0,2.0
class2Mut165_T0,6.0,5.0,6.0,3.0,10.0,5.0,5.0,3.0,20.0,2.0,3.0,17.0,4.0,3.0,20.0,3.0,1.0
class2Mut166_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,11.0
class2Mut167_T7,4.0,6.0,4.0,8.0,3.0,2.0,2.0,8.0,5.0,17.0,9.0,17.0,6.0,6.0,5.0,6.0,5.0
class2Mut168_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0
class2Mut169_T7,11.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,5.0,17.0,13.0,17.0,9.0,9.0,5.0,9.0,6.0
class2Mut170_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,6.0,10.0,15.0,15.0,11.0,14.0,10.0
class2Mut171_T12,19.0,19.0,19.0,18.0,13.0,18.0,18.0,18.0,8.0,14.0,13.0,12.0,18.0,18.0,8.0,17.0,1.0
class2Mut172_T9,11.0,9.0,10.0,10.0,13.0,8.0,8.0,10.0,13.0,9.0,7.0,12.0,7.0,10.0,13.0,10.0,1.0
class2Mut173_T7,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,17.0,5.0,16.0,4.0,5.0,5.0,5.0,1.0
class2Mut174_T0,5.0,5.0,5.0,3.0,7.0,3.0,3.0,3.0,20.0,2.0,9.0,8.0,3.0,3.0,20.0,3.0,12.0
class2Mut175_T1,7.0,7.0,7.0,5.0,20.0,5.0,5.0,5.0,18.0,4.0,17.0,2.0,5.0,5.0,18.0,20.0,9.0
class2Mut176_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,11.0
class2Mut177_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,3.0
class2Mut178_T11,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,16.0,1.0,15.0,1.0,1.0,6.0,1.0,21.0
class2Mut179_T11,3.0,5.0,3.0,9.0,3.0,2.0,2.0,9.0,1.0,19.0,13.0,14.0,6.0,9.0,3.0,9.0,1.0
class2Mut180_T15,18.0,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,17.0,14.0,16.0,18.0,18.0,5.0,15.0,1.0
class2Mut181_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0
class2Mut182_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,3.0
class2Mut183_T9,13.0,13.0,13.0,12.0,17.0,12.0,12.0,12.0,13.0,9.0,11.0,8.0,12.0,12.0,13.0,19.0,2.0
class2Mut184_T12,14.0,14.0,14.0,13.0,11.0,13.0,13.0,13.0,8.0,14.0,5.0,13.0,13.0,13.0,8.0,11.0,7.0
class2Mut185_T5,9.0,9.0,9.0,7.0,5.0,7.0,7.0,7.0,3.0,19.0,16.0,19.0,7.0,7.0,3.0,7.0,11.0
class2Mut186_T10,13.0,13.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,10.0,7.0,9.0,12.0,12.0,12.0,15.0,3.0
class2Mut187_T8,1.0,1.0,1.0,10.0,3.0,10.0,10.0,10.0,1.0,20.0,18.0,20.0,10.0,10.0,1.0,5.0,4.0
class2Mut188_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0
class2Mut189_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,2.0
class2Mut190_T7,17.0,17.0,17.0,15.0,8.0,15.0,15.0,15.0,4.0,19.0,18.0,17.0,15.0,15.0,4.0,16.0,4.0
