,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
0,5.087291496,3.284315678,1.306154439,1.82607464,2.410543519,2.410543519,2.410543519,5.087291496,2.800690207,2.410543519,2.410543519,2.410543519,5.407948819,2.800690207,2.052056555,2.410543519,3.07701481
1,5.121050847,3.036523402,-0.563494984,2.026493668,0.781180008,0.781180008,0.781180008,5.121050847,1.521299287,0.781180008,0.781180008,0.781180008,5.538590187,1.521299287,1.338749427,0.781180008,1.999718916
2,5.11888,1.383067195,2.215675472,3.233756261,4.656007172,4.656007172,4.656007172,5.11888,3.674653648,4.656007172,4.656007172,4.656007172,8.620919598,3.674653648,4.134460898,4.656007172,1.391943925
3,3.427307643,-0.4135626,0.771333735,0.632131434,3.187519532,3.187519532,3.187519532,3.427307643,2.42946517,3.187519532,3.187519532,3.187519532,7.033256248,2.42946517,2.850932524,3.187519532,0.902576504
4,4.496978601,2.674328779,1.009367993,2.272395322,2.129679884,2.129679884,2.129679884,4.496978601,2.256290532,2.129679884,2.129679884,2.129679884,5.86372784,2.256290532,1.839664829,2.129679884,1.435358178
5,-0.125721571,-1.50567809,-1.059524701,-1.361776938,0.329184396,0.329184396,0.329184396,-0.125721571,-0.215957541,0.329184396,0.329184396,0.329184396,2.397476866,-0.215957541,-0.184540944,-0.062948762,2.401493106
6,1.003845597,-3.000325821,-2.058904657,-3.193360418,-1.96730615,-1.96730615,-1.96730615,1.003845597,-2.902743143,-1.96730615,-1.96730615,-1.96730615,4.250450519,-2.902743143,-3.000325821,-1.96730615,3.082220691
7,5.695231281,2.268191004,1.055300187,3.613937067,3.90220933,3.90220933,3.90220933,5.695231281,3.71242676,3.90220933,3.90220933,3.90220933,7.818942204,3.71242676,4.011039183,3.90220933,2.379522637
8,4.51794455,4.571518753,2.537382145,1.086973835,-1.537970761,-1.537970761,-1.537970761,4.7679695,-0.550255874,-1.537970761,-1.537970761,-1.537970761,2.588811322,-0.550255874,-2.327513997,-1.200289077,2.004484824
9,6.755143615,5.260835753,3.968519295,4.035689553,5.015966687,5.015966687,5.015966687,6.755143615,5.04086624,5.015966687,5.015966687,5.015966687,7.573096943,5.04086624,4.292236233,5.015966687,4.684545298
10,7.336024067,3.98881894,2.785849783,4.769573202,5.204221722,5.204221722,5.204221722,7.336024067,5.043300249,5.204221722,5.204221722,5.204221722,9.511380261,5.043300249,5.111346068,5.204221722,3.725459233
11,4.344393851,-0.687535046,-0.59585306,-1.195517733,0.693372806,0.693372806,0.693372806,4.344393851,0.113232222,0.693372806,0.693372806,0.693372806,6.551954773,0.113232222,0.37746938,0.693372806,0.539957569
12,9.718187069,8.603643997,5.36312152,5.925389253,4.560838317,4.560838317,4.420782074,9.718187069,5.176187576,4.420782074,4.420782074,4.420782074,10.2254403,5.315235005,3.347627191,4.420782074,6.770706278
13,3.292133228,2.360288314,0.591885433,0.798242838,0.331261237,0.331261237,0.156311017,3.292133228,0.398686498,0.156311017,0.156311017,0.156311017,4.422697092,0.572567959,-0.030957777,0.156311017,1.075220459
14,3.442869367,1.930102128,0.287139182,0.005616369,-0.472978317,-0.472978317,-0.670396111,3.442869367,-0.63877588,-0.670396111,-0.670396111,-0.670396111,5.171267697,-0.441614232,-0.912113712,-0.670396111,0.716419179
15,1.748109457,1.134870502,1.685244923,2.838378183,4.276163683,4.276163683,4.121822811,1.748109457,3.293331468,4.121822811,4.121822811,4.121822811,4.782617646,3.449518101,4.085606636,3.768868163,1.309216835
16,1.658575232,-0.939267672,-0.014379015,0.529886477,3.107946218,3.107946218,3.107946218,1.658575232,2.427832021,3.107946218,3.107946218,3.107946218,4.587536069,2.427832021,2.803790458,3.107946218,0.13088209
17,4.669618465,1.741059069,-0.235488121,0.815350058,0.295775616,0.295775616,0.295775616,4.669618465,0.601100758,0.295775616,0.295775616,0.295775616,5.543054635,0.601100758,0.1088938,0.295775616,0.513177036
18,-0.881807735,-2.047836445,-1.227393541,-0.985971318,0.682137809,0.682137809,0.483037656,-0.668422072,-0.331735729,0.483037656,0.483037656,0.483037656,1.015509646,-0.129138987,0.377200743,0.953140391,1.924044892
19,4.309392204,1.60464665,0.227730326,1.480531464,1.516723431,1.516723431,1.516723431,4.309392204,1.340636789,1.516723431,1.516723431,1.516723431,6.446892181,1.340636789,1.459801011,1.516723431,1.04797328
20,4.676398779,1.793114331,0.555428305,3.29937799,3.583657754,3.583657754,3.583657754,4.676398779,3.407208665,3.583657754,3.583657754,3.583657754,6.811510457,3.407208665,3.766062646,3.583657754,2.028369825
21,2.737490575,1.313892841,1.997553029,1.305275286,3.531516115,3.531516115,3.531516115,2.737490575,2.909627203,3.531516115,3.531516115,3.531516115,4.7428338,2.909627203,3.696130045,3.531516115,1.738153529
22,5.258998763,0.335295541,1.641822749,0.623018008,3.007009554,3.007009554,3.007009554,5.258998763,2.015862739,3.007009554,3.007009554,3.007009554,9.132677898,2.015862739,2.290972869,3.007009554,1.368503814
23,2.642335972,1.893874593,0.188232066,1.027010573,0.845043304,0.845043304,0.845043304,2.642335972,1.017192697,0.845043304,0.845043304,0.845043304,3.90859954,1.017192697,0.724526426,0.447854185,0.54574732
24,4.712078487,4.333096731,4.928337333,2.827736136,3.205344461,3.205344461,3.066567344,4.927317218,2.458784051,3.066567344,3.066567344,3.066567344,5.872619657,2.598980753,3.150806323,3.093832997,3.154944137
25,2.156726641,-0.047154388,-1.226750457,3.441561463,3.980514209,3.980514209,3.980514209,2.156726641,3.764785322,3.980514209,3.980514209,3.980514209,4.424722795,3.764785322,4.305710982,3.980514209,0.781622017
26,4.735691677,2.444719094,3.248141366,4.396301057,6.32370557,6.32370557,6.32370557,4.735691677,5.258577749,6.32370557,6.32370557,6.32370557,8.208720534,5.258577749,5.584786163,5.994860179,2.419794156
27,4.033693763,0.723789639,-1.548453956,-0.914802899,-1.439878696,-1.439878696,-1.439878696,4.033693763,-1.08155306,-1.439878696,-1.439878696,-1.439878696,5.03920371,-1.08155306,-1.978816454,-1.439878696,0.250483911
28,6.528821003,2.895136574,3.686858455,3.710085778,5.331044964,5.331044964,5.331044964,6.528821003,4.374745241,5.331044964,5.331044964,5.331044964,9.725734213,4.374745241,4.521572787,5.331044964,1.985535875
29,4.833731722,3.594334127,2.160592822,2.391738272,2.219138991,2.219138991,2.051395428,4.833731722,2.021588922,2.051395428,2.051395428,2.051395428,6.585894953,2.189512831,1.741504442,2.051395428,2.504344387
