,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),24.56,24.56,24.56,33.775000000000006,24.56,24.56,24.56,34.21,24.56,24.56,24.56,24.56,22.805,24.56,24.56,23.68,5.26
mean_Examscore(%),29.42038461538461,30.97153846153845,29.993076923076917,36.43653846153847,31.106923076923067,31.106923076923067,31.106923076923067,49.86500000000001,28.54192307692307,31.106923076923067,31.241923076923065,31.241923076923065,31.916538461538455,32.388846153846146,32.25423076923076,32.62499999999999,17.84692307692308
sd_Examscore(%),27.28619364891619,26.058698155097108,26.871734557967155,34.37032870861816,25.909525625797283,25.909525625797283,25.909525625797283,33.391737930212614,22.85356637712911,25.909525625797283,25.829446454654153,25.829446454654153,25.103424936419763,26.88711696362004,26.9444246066717,24.480980576766118,18.88624319852538
Total_acc1,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Total_acc2,8.0,4.0,7.0,8.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,9.0
Total_acc3,8.0,4.0,7.0,8.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,10.0
Total_acc5,10.0,7.0,10.0,8.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,4.0,11.0
rate_acc1,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.2692307692307692
rate_acc2,0.3076923076923077,0.15384615384615385,0.2692307692307692,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.34615384615384615
rate_acc3,0.3076923076923077,0.15384615384615385,0.2692307692307692,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.38461538461538464
rate_acc5,0.38461538461538464,0.2692307692307692,0.38461538461538464,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.07692307692307693,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.15384615384615385,0.4230769230769231
