,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
RM1Mut177_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,6.0
RM1Mut123_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
RM1Mut184_T72,8.0,13.0,5.0,92.0,15.0,15.0,15.0,95.0,15.0,15.0,15.0,15.0,28.0,15.0,15.0,14.0,12.0
RM1Mut15_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,2.0
RM1Mut14_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,52.0
RM1Mut162_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,50.0
RM1Mut36_T36,1.0,4.0,2.0,2.0,5.0,5.0,5.0,17.0,5.0,5.0,5.0,5.0,16.0,6.0,5.0,5.0,1.0
RM1Mut185_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,27.0
RM1Mut166_T44,51.0,51.0,51.0,21.0,51.0,51.0,51.0,19.0,47.0,51.0,51.0,51.0,51.0,57.0,57.0,51.0,31.0
RM1Mut192_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0
RM1Mut135_T4,1.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0
RM1Mut141_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0
RM1Mut171_T52,1.0,29.0,24.0,2.0,29.0,29.0,29.0,24.0,29.0,29.0,31.0,31.0,28.0,32.0,29.0,32.0,1.0
RM1Mut1_T4,1.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0
RM1Mut139_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,6.0
RM1Mut142_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,50.0
RM1Mut178_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,6.0
RM1Mut132_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0
RM1Mut109_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,45.0
RM1Mut10_T68,71.0,71.0,71.0,37.0,71.0,71.0,71.0,35.0,63.0,71.0,71.0,71.0,71.0,73.0,73.0,71.0,47.0
RM1Mut152_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,2.0
RM1Mut189_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,27.0
RM1Mut131_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,50.0
RM1Mut106_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,50.0
RM1Mut134_T14,26.0,26.0,24.0,108.0,25.0,25.0,25.0,104.0,25.0,25.0,25.0,25.0,12.0,25.0,25.0,25.0,3.0
RM1Mut34_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,52.0
