,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),6.67,6.67,13.33,81.665,23.335,81.665,81.665,81.665,6.67,100,100,100,81.665,81.665,6.67,46.665,6.67
mean_Examscore(%),7.383214286,11.31178571,15.71214286,56.66607143,23.33321429,54.0475,53.80928571,56.66607143,8.333928571,89.04821429,65.23785714,65.23714286,55.71392857,55.95178571,8.216428571,40.35678571,5.596071429
sd_Examscore(%),2.285772507,17.02921304,16.8967576,36.07423769,16.12778212,39.30940229,39.60531183,36.07423769,5.010073068,27.75408733,44.12345864,44.16171317,37.20669985,37.04632936,3.6819874,26.37854558,1.829307376
Total_acc1,1,1,3,1,5,5,6,1,6,1,1,3,1,3,1,3,9
Total_acc2,24,20,3,1,9,7,8,1,20,1,3,3,1,3,22,3,25
Total_acc3,25,23,4,2,10,10,10,2,22,1,6,4,6,4,23,4,28
Total_acc5,28,27,27,9,13,11,11,9,25,3,9,9,11,9,27,9,28
rate_acc1,0.035714286,0.035714286,0.107142857,0.035714286,0.178571429,0.178571429,0.214285714,0.035714286,0.214285714,0.035714286,0.035714286,0.107142857,0.035714286,0.107142857,0.035714286,0.107142857,0.357142857
rate_acc2,0.857142857,0.714285714,0.107142857,0.035714286,0.321428571,0.25,0.285714286,0.035714286,0.714285714,0.035714286,0.107142857,0.107142857,0.035714286,0.107142857,0.785714286,0.107142857,0.964285714
rate_acc3,0.892857143,0.821428571,0.142857143,0.071428571,0.357142857,0.357142857,0.357142857,0.071428571,0.785714286,0.035714286,0.214285714,0.142857143,0.214285714,0.142857143,0.821428571,0.142857143,1
rate_acc5,1,0.964285714,0.964285714,0.321428571,0.464285714,0.392857143,0.392857143,0.321428571,0.892857143,0.107142857,0.321428571,0.321428571,0.392857143,0.321428571,0.964285714,0.321428571,1
