,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
INRESMut160_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut161_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut163_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut164_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut168_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut169_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0
INRESMut170_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut172_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut175_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut177_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0
INRESMut178_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0
INRESMut179_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut180_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut182_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,13.0,5.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0
INRESMut184_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut185_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut186_T2,13.0,13.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,18.0,2.0,1.0
INRESMut188_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut191_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0
INRESMut192_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,13.0,5.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0
INRESMut193_T2,13.0,13.0,1.0,1.0,3.0,3.0,3.0,1.0,18.0,1.0,3.0,3.0,2.0,3.0,18.0,3.0,1.0
INRESMut194_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut195_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut196_T7,2.0,2.0,3.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0
INRESMut198_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0
INRESMut200_T3,12.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0
