,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
InFlightMut28_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,17.0
InFlightMut32_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,12.0
InFlightMut110_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,12.0
InFlightMut164_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,2.0
InFlightMut147_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,6.0
InFlightMut195_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,23.0
InFlightMut154_T22,18.0,17.0,18.0,25.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,18.0,25.0,17.0
InFlightMut139_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,22.0
InFlightMut116_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,2.0
InFlightMut176_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,22.0
InFlightMut30_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,9.0
InFlightMut163_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,7.0
InFlightMut180_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,3.0
InFlightMut118_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,9.0
InFlightMut194_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,6.0
InFlightMut35_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,20.0
InFlightMut11_T23,21.0,17.0,18.0,24.0,22.0,24.0,24.0,24.0,22.0,25.0,24.0,25.0,24.0,24.0,21.0,24.0,18.0
InFlightMut29_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,20.0
InFlightMut160_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,24.0
InFlightMut103_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,19.0
InFlightMut137_T23,21.0,17.0,18.0,24.0,22.0,24.0,24.0,24.0,22.0,25.0,24.0,25.0,24.0,24.0,21.0,24.0,18.0
InFlightMut162_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,24.0
InFlightMut129_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,23.0
InFlightMut123_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,9.0
InFlightMut36_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,3.0
InFlightMut145_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,22.0
