,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
MLSMut109_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0
MLSMut160_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0
MLSMut127_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0
MLSMut108_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0
MLSMut166_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut191_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut114_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0
MLSMut158_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0
MLSMut10_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0
MLSMut152_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0
MLSMut179_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0
MLSMut19_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0
MLSMut149_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0
MLSMut146_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0
MLSMut107_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0
MLSMut120_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0
MLSMut197_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0
MLSMut131_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0
MLSMut195_T69,65.0,65.0,66.0,69.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,69.0,67.0
MLSMut200_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,2.0
