,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),45.650000000000006,41.305,34.78,69.57,43.48,69.57,69.57,69.57,65.22,69.57,69.57,69.57,69.57,69.57,45.650000000000006,69.57,47.83
mean_Examscore(%),49.092499999999994,46.01416666666666,42.933749999999996,54.3475,44.20375000000001,54.3475,54.3475,54.3475,53.98708333333334,53.98416666666665,54.528749999999995,54.528749999999995,54.3475,54.528749999999995,51.80958333333333,54.528749999999995,47.64666666666668
sd_Examscore(%),25.658427761992574,25.704353195293706,25.167263037611935,30.715401072482813,26.358613444515466,30.715401072482813,30.715401072482813,30.715401072482813,30.473266185178666,30.41847135007547,30.526876015064662,30.526876015064662,30.715401072482813,30.526876015064662,28.753005813255445,30.526876015064662,27.631261228931432
Total_acc1,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
Total_acc2,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0
Total_acc3,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
Total_acc5,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0
rate_acc1,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333
rate_acc2,0.041666666666666664,0.041666666666666664,0.125,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.16666666666666666
rate_acc3,0.125,0.125,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666
rate_acc5,0.125,0.125,0.20833333333333334,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20833333333333334,0.20833333333333334,0.25,0.20833333333333334,0.125,0.20833333333333334,0.25
