,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
SIPMut21_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut1_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut12_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0
SIPMut166_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut119_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut147_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut111_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0
SIPMut109_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut22_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0
SIPMut152_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut116_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0
SIPMut161_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0
SIPMut129_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut13_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0
SIPMut123_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut135_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0
SIPMut107_T26,57.0,57.0,57.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,57.0,2.0,2.0
SIPMut170_T18,17.0,17.0,17.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,19.0,19.0
SIPMut140_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut157_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
SIPMut102_T21,20.0,20.0,20.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,22.0,22.0
SIPMut156_T1,56.0,56.0,56.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0
