,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),80.0,80.0,80.0,28.335,80.0,80.0,80.0,6.67,60.0,80.0,80.0,80.0,80.0,100.0,100.0,80.0,6.67
mean_Examscore(%),58.333214285714284,58.452857142857134,57.97607142857144,25.237500000000004,58.452857142857134,58.452857142857134,58.452857142857134,8.097857142857139,44.88071428571429,59.642857142857146,60.357142857142854,60.357142857142854,63.57214285714286,78.21428571428571,77.97571428571428,59.40500000000001,5.834999999999999
sd_Examscore(%),34.373601095152615,34.15627374259136,34.953498668658256,15.882061071815865,34.15627374259136,34.15627374259136,34.15627374259136,3.444820435187853,24.72036331516716,32.449977898427996,31.248246630176183,31.248246630176183,27.350869897079765,38.516504343960214,38.983196325688795,32.66083264230857,1.4728015631592888
Total_acc1,4.0,2.0,6.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
Total_acc2,4.0,4.0,6.0,6.0,4.0,4.0,4.0,23.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,28.0
Total_acc3,6.0,7.0,6.0,7.0,7.0,7.0,7.0,24.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,5.0,28.0
Total_acc5,7.0,7.0,7.0,12.0,7.0,7.0,7.0,27.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,28.0
rate_acc1,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.25
rate_acc2,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8214285714285714,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,1.0
rate_acc3,0.21428571428571427,0.25,0.21428571428571427,0.25,0.25,0.25,0.25,0.8571428571428571,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.10714285714285714,0.17857142857142858,1.0
rate_acc5,0.25,0.25,0.25,0.42857142857142855,0.25,0.25,0.25,0.9642857142857143,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.17857142857142858,0.25,1.0
