,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
ATMMut147_T23,26.0,26.0,26.0,6.0,26.0,26.0,26.0,2.0,22.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut65_T24,24.0,24.0,24.0,4.0,24.0,24.0,24.0,2.0,8.0,24.0,24.0,24.0,24.0,30.0,30.0,24.0,2.0
ATMMut46_T21,25.0,25.0,25.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,2.0
ATMMut40_T16,19.0,19.0,19.0,14.0,19.0,19.0,19.0,2.0,19.0,19.0,19.0,19.0,19.0,30.0,30.0,19.0,2.0
ATMMut115_T5,8.0,8.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,30.0,30.0,8.0,2.0
ATMMut25_T20,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut8_T21,25.0,25.0,25.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,2.0
ATMMut23_T15,18.0,18.0,18.0,11.0,18.0,18.0,18.0,2.0,16.0,18.0,18.0,18.0,18.0,30.0,30.0,18.0,2.0
ATMMut110_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut182_T20,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut103_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut49_T23,26.0,26.0,26.0,6.0,26.0,26.0,26.0,2.0,22.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut71_T17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,10.0,2.0,1.0,3.0,1.0
ATMMut148_T6,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0
ATMMut127_T15,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,14.0,6.0,6.0,4.0,1.0
ATMMut183_T15,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,14.0,6.0,6.0,4.0,1.0
ATMMut83_T6,8.0,8.0,8.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,30.0,30.0,8.0,2.0
ATMMut88_T6,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0
ATMMut54_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut15_T12,20.0,20.0,20.0,12.0,20.0,20.0,20.0,2.0,19.0,20.0,20.0,20.0,20.0,30.0,30.0,20.0,2.0
ATMMut193_T5,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0
ATMMut195_T24,24.0,24.0,24.0,4.0,24.0,24.0,24.0,2.0,8.0,24.0,24.0,24.0,24.0,30.0,30.0,24.0,2.0
ATMMut167_T21,25.0,25.0,25.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,2.0
ATMMut75_T19,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut141_T18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,6.0,2.0,1.0,3.0,1.0
ATMMut196_T21,25.0,25.0,25.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,2.0
ATMMut81_T24,24.0,24.0,24.0,4.0,24.0,24.0,24.0,2.0,8.0,24.0,24.0,24.0,24.0,30.0,30.0,24.0,2.0
ATMMut55_T12,20.0,20.0,20.0,12.0,20.0,20.0,20.0,2.0,19.0,20.0,20.0,20.0,20.0,30.0,30.0,20.0,2.0
