,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),5.56,5.56,33.33,5.56,5.56,5.56,5.56,100.0,5.56,5.56,5.56,5.56,11.11,5.56,5.56,5.56,5.56
mean_Examscore(%),15.600384615384618,15.600384615384618,33.75807692307693,10.472692307692311,15.600384615384618,15.600384615384618,15.600384615384618,76.28153846153846,15.600384615384618,15.600384615384618,15.17269230769231,15.17269230769231,19.44307692307693,15.600384615384618,15.600384615384618,15.813076923076927,9.404615384615386
sd_Examscore(%),16.40311031012575,16.40311031012575,11.536246536627335,7.253970255076766,16.40311031012575,16.40311031012575,16.40311031012575,37.46842774308073,16.40311031012575,16.40311031012575,16.443641581521362,16.443641581521362,14.074984552526024,16.40311031012575,16.40311031012575,16.15113142023945,7.158284280898169
Total_acc1,17.0,17.0,3.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,14.0,20.0
Total_acc2,18.0,18.0,3.0,18.0,18.0,18.0,18.0,6.0,18.0,18.0,20.0,20.0,17.0,18.0,18.0,20.0,20.0
Total_acc3,20.0,20.0,3.0,20.0,20.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc5,20.0,20.0,3.0,26.0,20.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,26.0
rate_acc1,0.6538461538461539,0.6538461538461539,0.11538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.6538461538461539,0.6538461538461539,0.5384615384615384,0.7692307692307693
rate_acc2,0.6923076923076923,0.6923076923076923,0.11538461538461539,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.23076923076923078,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.6538461538461539,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693
rate_acc3,0.7692307692307693,0.7692307692307693,0.11538461538461539,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
rate_acc5,0.7692307692307693,0.7692307692307693,0.11538461538461539,1.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.0
