,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),32.1,32.1,32.1,28.4,32.1,32.1,32.1,27.16,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,29.63
mean_Examscore(%),36.44857142857144,36.44857142857144,37.3309523809524,42.622857142857136,36.44857142857144,36.44857142857144,36.44857142857144,41.62285714285714,36.44857142857144,36.44857142857144,36.44857142857144,36.44857142857144,36.56571428571429,36.44857142857144,36.44857142857144,36.44857142857144,34.27333333333333
sd_Examscore(%),29.578575740849033,29.578575740849033,28.620429924227537,32.68177491245803,29.578575740849033,29.578575740849033,29.578575740849033,32.74157099817556,29.578575740849033,29.578575740849033,29.578575740849033,29.578575740849033,29.439264524004088,29.578575740849033,29.578575740849033,29.578575740849033,29.15560449267574
Total_acc1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Total_acc2,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
Total_acc3,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc5,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
rate_acc1,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
rate_acc2,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc3,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc5,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
