,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
MLSMut147_T69,69.0,69.0,69.0,66.0,69.0,69.0,69.0,65.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0
MLSMut152_T9,12.0,12.0,11.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
MLSMut110_T51,51.0,51.0,51.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut146_T51,51.0,51.0,51.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
MLSMut200_T11,2.0,2.0,11.0,80.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
MLSMut186_T9,12.0,12.0,11.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
MLSMut185_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
MLSMut127_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
MLSMut191_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut17_T21,21.0,21.0,21.0,18.0,21.0,21.0,21.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0
MLSMut115_T11,2.0,2.0,11.0,80.0,2.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
MLSMut135_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
MLSMut136_T76,76.0,76.0,76.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0
MLSMut125_T27,27.0,27.0,27.0,24.0,27.0,27.0,27.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0
MLSMut157_T76,76.0,76.0,76.0,73.0,76.0,76.0,76.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0
MLSMut131_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
MLSMut106_T51,51.0,51.0,51.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
MLSMut137_T9,12.0,12.0,11.0,9.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
MLSMut173_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
MLSMut109_T26,26.0,26.0,26.0,23.0,26.0,26.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0
