,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),11.76,11.76,11.76,11.76,11.76,11.76,11.76,23.53,11.76,11.76,23.53,23.53,23.53,11.76,11.76,11.76,5.88
mean_Examscore(%),18.869999999999994,18.869999999999994,18.869999999999994,15.92833333333333,18.869999999999994,18.869999999999994,18.869999999999994,32.59583333333334,18.869999999999994,18.869999999999994,31.618333333333325,31.618333333333325,34.07041666666665,19.36,18.869999999999994,18.869999999999994,14.703333333333331
sd_Examscore(%),23.784305749800648,23.784305749800648,23.784305749800648,17.126749905304294,23.784305749800648,23.784305749800648,23.784305749800648,30.58864067600581,23.784305749800648,23.784305749800648,18.17743074270391,18.17743074270391,18.51917372538566,23.561949059410622,23.784305749800648,23.784305749800648,17.604894247034697
Total_acc1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,9.0,11.0,11.0,16.0
Total_acc2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0
Total_acc3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,4.0,4.0,4.0,20.0,20.0,20.0,20.0
Total_acc5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0
rate_acc1,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.375,0.4583333333333333,0.4583333333333333,0.6666666666666666
rate_acc2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.625,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.625,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
