,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
NetworkMut27_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
NetworkMut195_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut47_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut31_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut91_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut3_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut66_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
NetworkMut154_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut187_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
NetworkMut90_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
NetworkMut162_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
NetworkMut160_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut104_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
NetworkMut17_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
NetworkMut177_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
NetworkMut156_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut145_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut130_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
NetworkMut110_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
NetworkMut57_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut20_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
NetworkMut159_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0
NetworkMut128_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0
NetworkMut194_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
