,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),60.870000000000005,60.870000000000005,60.870000000000005,41.305,60.870000000000005,60.870000000000005,60.870000000000005,52.17,60.870000000000005,60.870000000000005,60.870000000000005,60.870000000000005,60.870000000000005,60.870000000000005,60.870000000000005,60.870000000000005,45.655
mean_Examscore(%),53.080000000000005,53.080000000000005,53.62291666666666,41.486250000000005,53.080000000000005,53.080000000000005,53.26083333333333,53.25916666666666,53.26083333333333,53.26083333333333,53.442083333333336,53.442083333333336,53.98583333333334,53.26083333333333,53.26083333333333,53.442083333333336,43.66125
sd_Examscore(%),33.20890687228615,33.20890687228615,33.127571136201006,28.350309224983317,33.20890687228615,33.20890687228615,33.06706096729029,29.743818783019464,33.06706096729029,33.06706096729029,32.89826531427464,32.89826531427464,32.60794513967238,33.06706096729029,33.06706096729029,32.89826531427464,26.039167039456075
Total_acc1,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Total_acc2,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Total_acc3,6.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
Total_acc5,7.0,7.0,7.0,8.0,7.0,7.0,7.0,3.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0
rate_acc1,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0
rate_acc2,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.16666666666666666
rate_acc3,0.25,0.25,0.20833333333333334,0.25,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20833333333333334
rate_acc5,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.125,0.2916666666666667,0.2916666666666667,0.25,0.25,0.25,0.2916666666666667,0.2916666666666667,0.25,0.2916666666666667
