,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),50.89,50.89,50.89,50.89,50.89,50.89,50.89,59.82,50.0,50.89,50.89,50.89,50.89,50.89,50.89,50.89,30.8
mean_Examscore(%),51.482,50.446400000000004,51.39240000000001,50.87479999999998,50.4284,50.4284,50.4284,56.4644,49.85759999999999,50.4284,50.4284,50.4284,51.30280000000002,50.53559999999999,50.4284,50.803200000000004,34.39199999999999
sd_Examscore(%),32.65990023458941,34.09353822940647,32.91862103227695,30.91165949389755,34.11304646319352,34.11304646319352,34.11304646319352,29.53634965033199,33.752001580153234,34.11304646319352,34.11304646319352,34.11304646319352,32.91151046366605,34.04737350124578,34.11304646319352,33.59416686966157,28.86788555933161
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_acc2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Total_acc3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Total_acc5,0.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate_acc2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
rate_acc3,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
rate_acc5,0.0,0.12,0.08,0.08,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.04,0.12,0.12,0.08,0.2
