,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
SIPMut111_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut186_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut189_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut115_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut178_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut161_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut170_T18,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut125_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut114_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut193_T18,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut174_T18,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut140_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut104_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut181_T1,1.0,1.0,1.0,56.0,1.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPMut138_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut107_T26,2.0,2.0,26.0,57.0,2.0,2.0,2.0,57.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SIPMut23_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut184_T18,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut108_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut197_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
SIPMut165_T18,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
SIPMut159_T21,22.0,22.0,21.0,20.0,22.0,22.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
