,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1490,1659,1979,1396,1442,combine
median_Examscore(%),23.53,23.53,11.76,23.53,11.76,11.76,23.53,23.53,11.76,35.29,11.76,11.76,11.76,11.76,23.53,11.76,5.88,11.76,11.76,5.88,5.88,5.88
mean_Examscore(%),36.76291666666667,36.76291666666667,28.91791666666666,31.61833333333333,16.41833333333333,19.36,23.283749999999998,31.61833333333333,12.496666666666664,41.66583333333333,18.87,19.36,19.36,19.36,37.98791666666667,19.36,11.026666666666666,12.496666666666664,12.496666666666664,11.026666666666666,11.026666666666666,11.026666666666666
sd_Examscore(%),29.55215220282341,29.55215220282341,29.68777525883071,18.25994134631912,16.905797221963386,23.561949059410622,23.110195907679028,18.25994134631912,8.19394085081572,15.5079438035638,23.784305749800644,23.561949059410622,23.561949059410622,23.561949059410622,31.317599299847306,23.561949059410622,8.727266949383242,8.19394085081572,8.19394085081572,8.727266949383242,8.727266949383242,8.727266949383242
Total_acc1,9.0,9.0,6.0,0.0,9.0,9.0,11.0,0.0,9.0,0.0,11.0,9.0,9.0,9.0,9.0,9.0,15.0,9.0,9.0,15.0,15.0,15.0
Total_acc2,9.0,9.0,15.0,0.0,20.0,20.0,11.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc3,9.0,9.0,15.0,5.0,20.0,20.0,11.0,5.0,20.0,0.0,20.0,20.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc5,13.0,13.0,15.0,20.0,20.0,20.0,20.0,20.0,24.0,5.0,20.0,20.0,20.0,20.0,13.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0
rate_acc1,0.375,0.375,0.25,0.0,0.375,0.375,0.4583333333333333,0.0,0.375,0.0,0.4583333333333333,0.375,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.625,0.625,0.625
rate_acc2,0.375,0.375,0.625,0.0,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.375,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc3,0.375,0.375,0.625,0.20833333333333334,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.20833333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.375,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc5,0.5416666666666666,0.5416666666666666,0.625,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.20833333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5416666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
