,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1490,1659,1979,1396,1442,combine
NetworkMut140_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut159_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut141_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut11_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut36_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut28_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut138_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut194_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut4_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut98_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut180_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut66_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut74_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut76_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut198_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut39_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut55_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut68_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut85_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut136_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut132_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
NetworkMut173_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut52_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut35_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
