,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,112,58,2183,276,149,2408,1895,217,combine
median_Examscore(%),58.82,58.82,35.29,23.53,11.76,11.76,5.88,23.53,11.76,35.29,5.88,11.76,11.76,11.76,58.82,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76
mean_Examscore(%),49.26333333333334,49.26333333333334,43.86916666666667,30.148333333333323,17.39833333333333,20.34,20.34208333333333,30.148333333333323,13.476666666666665,38.72541666666667,17.89,20.34,20.34,20.34,51.71333333333334,20.34,13.476666666666665,12.251666666666663,12.251666666666663,12.251666666666663,13.476666666666665,13.476666666666665,12.251666666666663,13.476666666666665,12.251666666666663
sd_Examscore(%),29.427923986325087,29.427923986325087,34.561244054282966,19.02622256065392,16.409252868736736,23.078273238095047,24.035756331506114,19.02622256065392,7.656299859346672,17.165119328393,24.19184735114022,23.078273238095047,23.078273238095047,23.078273238095047,31.841489432427032,23.078273238095047,7.656299859346672,8.304091012039299,8.304091012039299,8.304091012039299,7.656299859346672,7.656299859346672,8.304091012039299,7.656299859346672,8.304091012039299
Total_acc1,5.0,5.0,5.0,0.0,5.0,5.0,15.0,0.0,5.0,0.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,5.0,5.0,10.0,5.0,10.0
Total_acc2,5.0,5.0,10.0,0.0,20.0,20.0,15.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc3,5.0,5.0,10.0,10.0,20.0,20.0,15.0,10.0,20.0,0.0,20.0,20.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total_acc5,9.0,9.0,10.0,20.0,20.0,20.0,20.0,20.0,24.0,10.0,20.0,20.0,20.0,20.0,9.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
rate_acc1,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.625,0.0,0.20833333333333334,0.0,0.625,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.20833333333333334,0.4166666666666667
rate_acc2,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.0,0.8333333333333334,0.8333333333333334,0.625,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.20833333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc3,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.625,0.4166666666666667,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.20833333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
rate_acc5,0.375,0.375,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.375,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
