,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,112,58,2183,276,149,2408,1895,217,combine
NetworkMut157_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut99_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut132_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
NetworkMut7_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut38_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut26_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut188_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut75_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
NetworkMut86_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut74_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut187_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut129_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut163_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut56_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
NetworkMut55_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut31_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut118_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut185_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut49_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
NetworkMut165_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut53_T3,13.0,13.0,14.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut103_T11,4.0,4.0,6.0,12.0,9.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NetworkMut1_T9,10.0,10.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
NetworkMut199_T4,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
