,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2476,951,1460,1233,1951,2668,2180,2709,2887,280,combine
OLSRMut178_T1,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0
OLSRMut173_T11,3.0,3.0,4.0,13.0,6.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,3.0,13.0,9.0,7.0,7.0,7.0,9.0,10.0,7.0,7.0,6.0,6.0,7.0
OLSRMut124_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,21.0,20.0,21.0,19.0,6.0,7.0,19.0,22.0,19.0,22.0,3.0
OLSRMut177_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,4.0,23.0,22.0,3.0,4.0,3.0,20.0,4.0,3.0,21.0,18.0
OLSRMut10_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0
OLSRMut127_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,8.0,6.0,6.0,6.0,8.0,9.0,6.0,6.0,5.0,5.0,6.0
OLSRMut136_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,22.0,2.0,4.0,1.0,4.0,3.0,3.0,17.0,18.0,20.0
OLSRMut148_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,14.0,12.0,12.0,12.0,14.0,15.0,12.0,12.0,11.0,11.0,12.0
OLSRMut12_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
OLSRMut137_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,12.0,10.0,10.0,10.0,12.0,13.0,10.0,10.0,9.0,9.0,10.0
OLSRMut191_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,8.0,6.0,6.0,6.0,8.0,9.0,6.0,6.0,5.0,5.0,6.0
OLSRMut113_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,15.0,13.0,13.0,13.0,15.0,16.0,13.0,13.0,12.0,12.0,13.0
OLSRMut130_T7,22.0,20.0,20.0,5.0,22.0,7.0,7.0,5.0,8.0,4.0,6.0,6.0,5.0,6.0,20.0,6.0,23.0,21.0,23.0,20.0,21.0,22.0,22.0,23.0,18.0,23.0,21.0
OLSRMut144_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,15.0,13.0,13.0,13.0,15.0,16.0,13.0,13.0,12.0,12.0,13.0
OLSRMut104_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,4.0,23.0,22.0,3.0,4.0,3.0,20.0,4.0,3.0,21.0,18.0
OLSRMut151_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,18.0,16.0,16.0,16.0,18.0,19.0,16.0,16.0,15.0,15.0,16.0
OLSRMut23_T15,6.0,21.0,19.0,8.0,2.0,8.0,8.0,8.0,7.0,15.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,3.0,4.0,21.0,23.0,6.0,4.0,20.0,21.0,3.0,4.0
OLSRMut139_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,21.0,20.0,21.0,19.0,6.0,7.0,19.0,22.0,19.0,22.0,3.0
OLSRMut123_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,4.0,23.0,22.0,3.0,4.0,3.0,20.0,4.0,3.0,21.0,18.0
OLSRMut179_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,12.0,10.0,10.0,10.0,12.0,13.0,10.0,10.0,9.0,9.0,10.0
OLSRMut117_T1,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0
OLSRMut182_T9,23.0,23.0,23.0,10.0,20.0,10.0,10.0,10.0,23.0,8.0,10.0,10.0,10.0,10.0,16.0,10.0,22.0,19.0,20.0,23.0,22.0,23.0,21.0,18.0,23.0,19.0,23.0
OLSRMut159_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,19.0,17.0,17.0,17.0,19.0,20.0,17.0,17.0,16.0,16.0,17.0
OLSRMut185_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,14.0,12.0,12.0,12.0,14.0,15.0,12.0,12.0,11.0,11.0,12.0
