,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1281,2471,1713,570,2055,2057,combine
median_Examscore(%),58.695,58.695,58.695,45.655,43.48,45.655,45.655,45.655,43.48,43.48,45.655,45.655,45.655,45.655,58.695,45.655,43.475,36.955,45.655,43.475,36.955,45.655,45.655
mean_Examscore(%),53.44208333333332,53.08041666666665,53.07958333333334,46.37708333333333,45.834166666666675,46.37708333333334,46.37708333333334,46.37708333333333,46.55916666666667,47.10083333333333,46.37708333333334,46.37708333333334,46.37708333333333,46.37708333333334,57.60791666666663,46.37708333333334,45.28916666666667,44.565416666666664,44.747499999999995,44.56458333333333,44.74666666666667,44.56625,44.92875000000001
sd_Examscore(%),27.897329773913718,27.40725554192867,27.85405371780727,32.04253239723003,32.711557446561756,32.04253239723003,32.04253239723003,32.04253239723003,32.192241695202256,31.52655346193754,32.04253239723003,32.04253239723003,32.04253239723003,32.04253239723003,31.173945500685505,32.04253239723003,31.40138960047118,30.722911855198863,31.57360995597706,31.826768194899774,31.021985985632085,31.253502595013604,31.317069427071235
Total_acc1,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0
Total_acc2,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Total_acc3,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Total_acc5,3.0,3.0,4.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0
rate_acc1,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.041666666666666664
rate_acc2,0.125,0.125,0.125,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.125,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334
rate_acc3,0.125,0.125,0.16666666666666666,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
rate_acc5,0.125,0.125,0.16666666666666666,0.3333333333333333,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.3333333333333333,0.375,0.375
