,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1711,2759,1901,2835,1255,1620,1045,combine
OLSRMut23_T15,6.0,21.0,19.0,8.0,2.0,8.0,8.0,8.0,7.0,15.0,8.0,8.0,8.0,8.0,6.0,8.0,21.0,7.0,20.0,7.0,7.0,5.0,21.0,4.0
OLSRMut160_T12,4.0,4.0,5.0,14.0,7.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,4.0,14.0,6.0,11.0,10.0,11.0,11.0,9.0,10.0,8.0
OLSRMut124_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,19.0,6.0,6.0,5.0,6.0,19.0,6.0,3.0
OLSRMut182_T9,23.0,23.0,23.0,10.0,20.0,10.0,10.0,10.0,23.0,8.0,10.0,10.0,10.0,10.0,16.0,10.0,23.0,23.0,23.0,22.0,23.0,22.0,23.0,23.0
OLSRMut13_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0
OLSRMut137_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,8.0,13.0,12.0,13.0,13.0,11.0,12.0,10.0
OLSRMut116_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,9.0,14.0,13.0,14.0,14.0,12.0,13.0,11.0
OLSRMut16_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,4.0,9.0,8.0,9.0,9.0,7.0,8.0,6.0
OLSRMut168_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,9.0,14.0,13.0,14.0,14.0,12.0,13.0,11.0
OLSRMut100_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,9.0,14.0,13.0,14.0,14.0,12.0,13.0,11.0
OLSRMut127_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,4.0,9.0,8.0,9.0,9.0,7.0,8.0,6.0
OLSRMut199_T8,22.0,20.0,19.0,6.0,19.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,18.0,7.0,20.0,23.0,6.0,23.0,7.0,22.0,21.0,20.0
OLSRMut129_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,10.0,15.0,14.0,15.0,15.0,13.0,14.0,12.0
OLSRMut121_T10,18.0,18.0,17.0,7.0,18.0,5.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,7.0,16.0,21.0,5.0,6.0,5.0,3.0,5.0,20.0
OLSRMut105_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0
OLSRMut152_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0
OLSRMut181_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,15.0,20.0,19.0,20.0,20.0,18.0,19.0,17.0
OLSRMut12_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
OLSRMut169_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,14.0,19.0,18.0,19.0,19.0,17.0,18.0,16.0
OLSRMut159_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,15.0,20.0,19.0,20.0,20.0,18.0,19.0,17.0
OLSRMut132_T21,12.0,11.0,12.0,21.0,14.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,12.0,21.0,13.0,18.0,17.0,18.0,18.0,16.0,17.0,15.0
OLSRMut184_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,10.0,15.0,14.0,15.0,15.0,13.0,14.0,12.0
OLSRMut190_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,8.0,13.0,12.0,13.0,13.0,11.0,12.0,10.0
OLSRMut153_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,19.0,6.0,6.0,5.0,6.0,19.0,6.0,3.0
