,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2596,680,129,2636,1994,473,817,1863,1803,combine
median_Examscore(%),54.345,54.345,58.695,56.52,56.519999999999996,56.52,56.52,56.52,52.17,54.345,56.52,56.52,56.52,56.52,54.345,56.52,52.17,56.52,56.52,63.045,52.17,60.870000000000005,56.52,60.87,60.87,52.175
mean_Examscore(%),53.98499999999999,52.89875000000001,56.15833333333333,54.71,57.065000000000005,54.52875,54.52875,54.71,52.17374999999999,54.89166666666665,54.16624999999999,54.34708333333333,54.71,54.34708333333333,52.71666666666666,54.34708333333333,51.26791666666667,56.158749999999976,57.426666666666655,58.15166666666667,51.81125,57.24666666666667,57.42666666666665,56.884166666666665,57.065,49.09374999999999
sd_Examscore(%),28.751762138814318,27.518314741198306,26.366606625190435,29.70796570091861,28.64792548828987,29.90280069949825,29.90280069949825,29.70796570091861,27.616799363163313,29.732136276026853,30.285315542354848,30.12290526423325,29.70796570091861,30.12290526423325,27.476879081474504,30.12290526423325,27.557086515271255,26.829729991430092,28.408541683439335,25.117079528837962,27.284745270141734,27.187585348858203,28.3796333381141,27.76408564043259,27.024958995263106,27.867812009478826
Total_acc1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_acc2,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
Total_acc3,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0
Total_acc5,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0
rate_acc1,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
rate_acc2,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125
rate_acc3,0.125,0.125,0.041666666666666664,0.125,0.08333333333333333,0.125,0.125,0.125,0.041666666666666664,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.041666666666666664,0.125,0.041666666666666664,0.125,0.125,0.041666666666666664,0.16666666666666666
rate_acc5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.125,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.125,0.25,0.25,0.125,0.25,0.16666666666666666,0.25,0.16666666666666666,0.125,0.125,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666,0.20833333333333334
