,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),86.67,86.67,86.67,33.33,86.67,86.67,86.67,6.67,61.665,86.67,86.67,86.67,86.67,100.0,100.0,86.67,6.67
mean_Examscore(%),60.594642857142844,60.23785714285713,61.42821428571427,27.26142857142857,60.476071428571416,60.476071428571416,60.11892857142856,11.07392857142857,44.99857142857143,60.594642857142844,61.66607142857141,61.66607142857141,64.16642857142855,70.595,70.35607142857143,61.07142857142856,6.072857142857143
sd_Examscore(%),38.65257803506273,38.83137251674722,38.292816660624915,15.846545298064115,38.53106744003834,38.53106744003834,38.99568602344564,17.190576087407056,27.91216391073781,38.364040018412965,36.80306290990282,36.80306290990282,33.820410582334326,43.566211210745195,43.955722699880425,37.626675792805976,1.828607762535845
Total_acc1,7.0,5.0,7.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,7.0
Total_acc2,7.0,5.0,7.0,7.0,5.0,5.0,6.0,23.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,2.0,26.0
Total_acc3,7.0,8.0,7.0,7.0,7.0,7.0,8.0,24.0,5.0,5.0,2.0,2.0,2.0,6.0,5.0,7.0,28.0
Total_acc5,8.0,9.0,8.0,8.0,9.0,9.0,9.0,25.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,28.0
rate_acc1,0.25,0.17857142857142858,0.25,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.17857142857142858,0.17857142857142858,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.07142857142857142,0.25
rate_acc2,0.25,0.17857142857142858,0.25,0.25,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.8214285714285714,0.17857142857142858,0.17857142857142858,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.07142857142857142,0.9285714285714286
rate_acc3,0.25,0.2857142857142857,0.25,0.25,0.25,0.25,0.2857142857142857,0.8571428571428571,0.17857142857142858,0.17857142857142858,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.17857142857142858,0.25,1.0
rate_acc5,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.8928571428571429,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.32142857142857145,0.32142857142857145,1.0
