,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
ATMMut199_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut45_T14,17.0,17.0,17.0,9.0,17.0,17.0,17.0,2.0,13.0,17.0,17.0,17.0,17.0,30.0,30.0,17.0,2.0
ATMMut77_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut74_T16,19.0,19.0,19.0,14.0,19.0,19.0,19.0,2.0,19.0,19.0,19.0,19.0,19.0,30.0,30.0,19.0,2.0
ATMMut148_T6,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0
ATMMut13_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut161_T4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
ATMMut98_T1,10.0,3.0,17.0,10.0,5.0,5.0,2.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut67_T27,30.0,30.0,30.0,10.0,30.0,30.0,30.0,2.0,13.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.0
ATMMut27_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut3_T23,26.0,26.0,26.0,6.0,26.0,26.0,26.0,2.0,22.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut150_T28,29.0,29.0,29.0,8.0,29.0,29.0,29.0,2.0,12.0,29.0,29.0,29.0,29.0,30.0,30.0,29.0,2.0
ATMMut78_T17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,10.0,2.0,1.0,3.0,1.0
ATMMut16_T19,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut35_T30,30.0,30.0,30.0,8.0,30.0,30.0,30.0,2.0,12.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.0
ATMMut194_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut131_T23,26.0,26.0,26.0,6.0,26.0,26.0,26.0,2.0,22.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut73_T17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,10.0,2.0,1.0,3.0,1.0
ATMMut185_T5,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0
ATMMut12_T21,25.0,25.0,25.0,12.0,25.0,25.0,25.0,2.0,18.0,25.0,25.0,25.0,25.0,30.0,30.0,25.0,2.0
ATMMut54_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut110_T22,27.0,27.0,27.0,12.0,27.0,27.0,27.0,2.0,21.0,27.0,27.0,27.0,27.0,30.0,30.0,27.0,2.0
ATMMut169_T11,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,10.0,3.0,4.0,4.0,3.0
ATMMut168_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut192_T18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,6.0,2.0,1.0,3.0,1.0
ATMMut197_T19,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut172_T19,26.0,26.0,26.0,12.0,26.0,26.0,26.0,2.0,20.0,26.0,26.0,26.0,26.0,30.0,30.0,26.0,2.0
ATMMut9_T16,19.0,19.0,19.0,14.0,19.0,19.0,19.0,2.0,19.0,19.0,19.0,19.0,19.0,30.0,30.0,19.0,2.0
