,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),11.11,11.11,33.33,11.11,11.11,11.11,11.11,100.0,11.11,11.11,5.56,5.56,11.11,11.11,11.11,11.11,5.56
mean_Examscore(%),19.65923076923077,19.65923076923077,34.827307692307684,12.60846153846154,19.65923076923077,19.65923076923077,19.65923076923077,70.29884615384614,19.65923076923077,19.65923076923077,17.736538461538462,17.736538461538462,21.57961538461539,19.65923076923077,19.65923076923077,19.230769230769234,10.258846153846154
sd_Examscore(%),16.864293148087036,16.864293148087036,10.368364020497085,7.1221528724439445,16.864293148087036,16.864293148087036,16.864293148087036,41.39385126580257,16.864293148087036,16.864293148087036,17.775381164364987,17.775381164364987,15.178727082537382,16.864293148087036,16.864293148087036,16.86482017053889,7.482335639049122
Total_acc1,11.0,11.0,2.0,11.0,11.0,11.0,11.0,1.0,11.0,11.0,16.0,16.0,0.0,11.0,11.0,9.0,18.0
Total_acc2,14.0,14.0,2.0,15.0,14.0,14.0,14.0,8.0,14.0,14.0,18.0,18.0,16.0,14.0,14.0,18.0,19.0
Total_acc3,18.0,18.0,2.0,19.0,18.0,18.0,18.0,8.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0
Total_acc5,18.0,18.0,5.0,26.0,18.0,18.0,18.0,8.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,26.0
rate_acc1,0.4230769230769231,0.4230769230769231,0.07692307692307693,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.4230769230769231,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.0,0.4230769230769231,0.4230769230769231,0.34615384615384615,0.6923076923076923
rate_acc2,0.5384615384615384,0.5384615384615384,0.07692307692307693,0.5769230769230769,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.7307692307692307
rate_acc3,0.6923076923076923,0.6923076923076923,0.07692307692307693,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7307692307692307
rate_acc5,0.6923076923076923,0.6923076923076923,0.19230769230769232,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0
