,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),59.375,59.375,56.25,56.25,59.375,59.375,59.375,53.12,59.375,59.375,59.375,59.375,59.375,59.375,59.38,59.375,45.315
mean_Examscore(%),56.73038461538461,57.33153846153846,56.0096153846154,54.8073076923077,57.33153846153846,57.33153846153846,57.45192307692306,51.803461538461534,57.45192307692308,57.45192307692306,57.45192307692306,57.45192307692306,57.21192307692307,57.33153846153846,57.091923076923074,57.21192307692307,46.7546153846154
sd_Examscore(%),30.06258079151146,29.034296504969117,30.012558502169615,28.79375620619058,29.034296504969117,29.034296504969117,28.873973750660753,29.11804539350918,28.860398613911176,28.873973750660753,28.873973750660753,28.873973750660753,29.25895514460224,29.020796362926735,29.068921551269256,29.25895514460224,27.221371490910478
Total_acc1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Total_acc2,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Total_acc3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0
Total_acc5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
rate_acc1,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
rate_acc2,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
rate_acc3,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.19230769230769232
rate_acc5,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.19230769230769232
