,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
InFlightMut148_T26,26.0,26.0,26.0,24.0,26.0,26.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,20.0
InFlightMut182_T18,20.0,20.0,18.0,18.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,14.0
InFlightMut117_T13,16.0,16.0,14.0,14.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,10.0
InFlightMut150_T31,31.0,31.0,31.0,28.0,31.0,31.0,31.0,27.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,24.0
InFlightMut17_T10,14.0,14.0,12.0,12.0,14.0,14.0,14.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,8.0
InFlightMut38_T25,6.0,6.0,25.0,30.0,5.0,5.0,5.0,31.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,27.0
InFlightMut200_T27,27.0,27.0,27.0,32.0,27.0,27.0,27.0,32.0,32.0,27.0,27.0,27.0,27.0,32.0,8.0,27.0,30.0
InFlightMut166_T9,2.0,5.0,4.0,4.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,3.0,6.0,7.0,7.0,26.0
InFlightMut125_T6,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
InFlightMut179_T12,15.0,15.0,13.0,13.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,9.0
InFlightMut145_T29,29.0,29.0,29.0,26.0,29.0,29.0,29.0,25.0,28.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,22.0
InFlightMut167_T21,23.0,23.0,21.0,21.0,23.0,23.0,23.0,20.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,17.0
InFlightMut45_T19,21.0,21.0,19.0,19.0,21.0,21.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,15.0
InFlightMut119_T6,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
InFlightMut32_T16,18.0,18.0,16.0,16.0,18.0,18.0,18.0,15.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0,12.0
InFlightMut14_T16,18.0,18.0,16.0,16.0,18.0,18.0,18.0,15.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0,12.0
InFlightMut131_T32,32.0,32.0,32.0,29.0,32.0,32.0,32.0,28.0,31.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,25.0
InFlightMut193_T26,26.0,26.0,26.0,24.0,26.0,26.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,20.0
InFlightMut158_T31,31.0,31.0,31.0,28.0,31.0,31.0,31.0,27.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,24.0
InFlightMut123_T12,15.0,15.0,13.0,13.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,9.0
InFlightMut153_T18,20.0,20.0,18.0,18.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,14.0
InFlightMut42_T24,25.0,25.0,24.0,23.0,25.0,25.0,25.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,19.0
InFlightMut113_T3,9.0,9.0,7.0,7.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,3.0
InFlightMut180_T3,9.0,9.0,7.0,7.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,3.0
InFlightMut122_T3,9.0,9.0,7.0,7.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,3.0
InFlightMut191_T28,28.0,28.0,28.0,25.0,28.0,28.0,28.0,24.0,27.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,21.0
