,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),62.96,62.96,62.96,59.26,62.96,62.96,62.96,58.02,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,60.49
mean_Examscore(%),45.03095238095239,44.91333333333334,45.207619047619055,46.56,44.91333333333334,44.91333333333334,44.91333333333334,49.96952380952381,44.91333333333334,44.91333333333334,44.91333333333334,44.91333333333334,44.971904761904774,44.91333333333334,44.91333333333334,44.91333333333334,42.56190476190477
sd_Examscore(%),33.9904964519146,34.14459127494914,33.706226413640834,34.03778415232108,34.14459127494914,34.14459127494914,34.14459127494914,34.350482016441994,34.14459127494914,34.14459127494914,34.14459127494914,34.14459127494914,34.06911543011465,34.14459127494914,34.14459127494914,34.14459127494914,33.85248552455899
Total_acc1,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Total_acc2,3.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
Total_acc3,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc5,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
rate_acc1,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rate_acc2,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc3,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc5,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
