,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
NetworkMut129_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut93_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut52_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut4_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut200_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut170_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut99_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut17_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut162_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut63_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut36_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut136_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut140_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
NetworkMut25_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut118_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut39_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut13_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut120_T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0
NetworkMut176_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut104_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut40_T3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0
NetworkMut128_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut55_T11,12.0,12.0,12.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0
NetworkMut107_T9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,5.0,5.0,7.0,1.0,2.0,2.0,1.0
