,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
OLSRMut121_T10,5.0,5.0,3.0,18.0,5.0,5.0,7.0,17.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,18.0
OLSRMut163_T21,21.0,21.0,21.0,14.0,21.0,21.0,21.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0
OLSRMut104_T4,6.0,3.0,8.0,23.0,3.0,3.0,3.0,22.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0
OLSRMut131_T21,21.0,21.0,21.0,14.0,21.0,21.0,21.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0
OLSRMut143_T2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
OLSRMut109_T2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
OLSRMut182_T9,10.0,10.0,9.0,20.0,10.0,10.0,10.0,16.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,22.0
OLSRMut170_T21,21.0,21.0,21.0,14.0,21.0,21.0,21.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0
OLSRMut168_T17,17.0,17.0,17.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0
OLSRMut17_T17,17.0,17.0,17.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0
OLSRMut199_T8,9.0,7.0,5.0,19.0,7.0,7.0,7.0,18.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,22.0
OLSRMut156_T12,14.0,14.0,14.0,7.0,14.0,14.0,14.0,4.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0
OLSRMut106_T17,17.0,17.0,17.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0
OLSRMut129_T18,18.0,18.0,18.0,11.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0
OLSRMut198_T10,5.0,5.0,3.0,18.0,5.0,5.0,7.0,17.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,18.0
OLSRMut110_T17,17.0,17.0,17.0,10.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0
OLSRMut183_T19,19.0,19.0,19.0,12.0,19.0,19.0,19.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,13.0
OLSRMut169_T22,22.0,22.0,22.0,15.0,22.0,22.0,22.0,13.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,16.0
OLSRMut11_T22,22.0,22.0,22.0,15.0,22.0,22.0,22.0,13.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,16.0
OLSRMut158_T2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
OLSRMut101_T15,1.0,8.0,5.0,2.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,4.0
OLSRMut15_T1,4.0,1.0,9.0,4.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OLSRMut111_T8,8.0,6.0,4.0,21.0,6.0,6.0,5.0,18.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,3.0
OLSRMut27_T8,8.0,8.0,8.0,4.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0
