,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
RM1Mut182_T8,14.0,16.0,10.0,95.0,19.0,19.0,19.0,91.0,19.0,19.0,19.0,19.0,7.0,19.0,19.0,19.0,99.0
RM1Mut101_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,45.0
RM1Mut25_T36,15.0,12.0,19.0,107.0,11.0,11.0,11.0,108.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,10.0,12.0
RM1Mut122_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,52.0
RM1Mut149_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,6.0
RM1Mut24_T52,1.0,29.0,24.0,2.0,29.0,29.0,29.0,24.0,29.0,29.0,31.0,31.0,28.0,32.0,29.0,32.0,1.0
RM1Mut108_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,45.0
RM1Mut191_T72,8.0,13.0,5.0,92.0,15.0,15.0,15.0,95.0,15.0,15.0,15.0,15.0,28.0,15.0,15.0,14.0,8.0
RM1Mut35_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,2.0
RM1Mut131_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,50.0
RM1Mut171_T52,1.0,29.0,24.0,2.0,29.0,29.0,29.0,24.0,29.0,29.0,31.0,31.0,28.0,32.0,29.0,32.0,1.0
RM1Mut134_T14,26.0,26.0,24.0,108.0,25.0,25.0,25.0,104.0,25.0,25.0,25.0,25.0,12.0,25.0,25.0,25.0,4.0
RM1Mut189_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,27.0
RM1Mut151_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,27.0
RM1Mut200_T14,26.0,26.0,24.0,108.0,25.0,25.0,25.0,104.0,25.0,25.0,25.0,25.0,12.0,25.0,25.0,25.0,4.0
RM1Mut199_T78,78.0,78.0,78.0,94.0,78.0,78.0,78.0,87.0,114.0,78.0,78.0,78.0,78.0,30.0,29.0,78.0,7.0
RM1Mut145_T78,78.0,78.0,78.0,94.0,78.0,78.0,78.0,87.0,114.0,78.0,78.0,78.0,78.0,30.0,29.0,78.0,7.0
RM1Mut185_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,27.0
RM1Mut179_T36,1.0,4.0,2.0,2.0,5.0,5.0,5.0,17.0,5.0,5.0,5.0,5.0,16.0,6.0,5.0,5.0,1.0
RM1Mut173_T68,71.0,71.0,71.0,37.0,71.0,71.0,71.0,35.0,63.0,71.0,71.0,71.0,71.0,73.0,73.0,71.0,47.0
RM1Mut126_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0
RM1Mut161_T72,8.0,13.0,5.0,92.0,15.0,15.0,15.0,95.0,15.0,15.0,15.0,15.0,28.0,15.0,15.0,14.0,8.0
RM1Mut16_T18,33.0,33.0,33.0,85.0,33.0,33.0,33.0,83.0,110.0,33.0,33.0,33.0,33.0,31.0,31.0,33.0,9.0
RM1Mut139_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,6.0
RM1Mut125_T18,33.0,33.0,33.0,85.0,33.0,33.0,33.0,83.0,110.0,33.0,33.0,33.0,33.0,31.0,31.0,33.0,9.0
RM1Mut140_T72,1.0,10.0,2.0,2.0,12.0,12.0,12.0,37.0,12.0,12.0,12.0,12.0,28.0,12.0,12.0,12.0,1.0
