,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),33.33,33.33,31.58,35.09,33.33,33.33,33.33,35.09,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
mean_Examscore(%),20.57318181818182,20.57318181818182,29.184545454545457,62.52,20.57318181818182,20.57318181818182,20.57318181818182,62.52,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182,20.57318181818182
sd_Examscore(%),16.89083645236689,16.89083645236689,16.103011468510427,34.2636632461799,16.89083645236689,16.89083645236689,16.89083645236689,34.2636632461799,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689,16.89083645236689
Total_acc1,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Total_acc2,10.0,10.0,5.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc3,10.0,10.0,5.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total_acc5,10.0,10.0,5.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rate_acc1,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727
rate_acc2,0.45454545454545453,0.45454545454545453,0.22727272727272727,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc3,0.45454545454545453,0.45454545454545453,0.22727272727272727,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
rate_acc5,0.45454545454545453,0.45454545454545453,0.22727272727272727,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
