,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
median_Examscore(%),33.33,33.33,33.33,40.480000000000004,33.33,33.33,33.33,52.38,47.620000000000005,38.095,38.095,38.095,45.239999999999995,66.67,61.9,33.33,19.05
mean_Examscore(%),40.237,39.64225,40.237,45.357749999999996,39.88,39.88,39.88025,50.952000000000005,49.6435,40.237249999999996,39.999249999999996,39.999249999999996,42.142,57.85675,54.4045,39.760999999999996,24.28499999999999
sd_Examscore(%),23.35257600681017,23.78223259316469,23.35257600681017,30.539268666834968,23.59365896993816,23.59365896993816,23.568692128623642,33.84632898322986,30.49983459812234,23.624728568512644,24.035727081703897,24.035727081703897,22.531120836608334,29.00740227256767,30.91578834470114,23.810963731990224,18.858249912003753
Total_acc1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,1.0,3.0,3.0,3.0,9.0
Total_acc2,7.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,5.0,3.0,9.0,7.0,16.0
Total_acc3,8.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,3.0,9.0,9.0,19.0
Total_acc5,14.0,16.0,14.0,15.0,16.0,16.0,16.0,15.0,10.0,15.0,15.0,15.0,13.0,7.0,9.0,15.0,25.0
rate_acc1,0.05,0.05,0.05,0.025,0.05,0.05,0.05,0.05,0.075,0.075,0.15,0.15,0.025,0.075,0.075,0.075,0.225
rate_acc2,0.175,0.15,0.175,0.15,0.175,0.175,0.15,0.125,0.175,0.175,0.175,0.175,0.125,0.075,0.225,0.175,0.4
rate_acc3,0.2,0.25,0.2,0.225,0.2,0.2,0.225,0.225,0.2,0.2,0.2,0.2,0.175,0.075,0.225,0.225,0.475
rate_acc5,0.35,0.4,0.35,0.375,0.4,0.4,0.4,0.375,0.25,0.375,0.375,0.375,0.325,0.175,0.225,0.375,0.625
