,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
class2Mut197_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut160_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut97_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,7.0
class2Mut174_T0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,1.0,9.0,8.0,3.0,14.0
class2Mut161_T13,14.0,14.0,14.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,5.0
class2Mut84_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut104_T13,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,1.0
class2Mut9_T8,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,6.0,4.0,16.0,3.0,2.0
class2Mut18_T13,14.0,14.0,14.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,5.0
class2Mut184_T12,13.0,13.0,13.0,11.0,13.0,13.0,13.0,8.0,11.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,10.0
class2Mut11_T11,1.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,9.0,9.0,9.0,9.0,10.0,12.0,12.0,6.0,1.0
class2Mut59_T7,9.0,9.0,9.0,8.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,13.0,17.0,9.0,8.0
class2Mut185_T5,7.0,7.0,7.0,5.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,16.0,19.0,7.0,6.0
class2Mut10_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,2.0,20.0,14.0,2.0,1.0
class2Mut144_T7,14.0,14.0,14.0,9.0,14.0,14.0,14.0,5.0,16.0,14.0,14.0,14.0,14.0,17.0,16.0,14.0,4.0
class2Mut69_T10,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,2.0
class2Mut58_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut140_T12,13.0,13.0,13.0,11.0,13.0,13.0,13.0,8.0,11.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,10.0
class2Mut149_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut189_T3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,6.0,14.0,18.0,6.0,3.0
class2Mut81_T1,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,20.0,5.0,5.0,5.0,5.0,17.0,2.0,5.0,11.0
class2Mut99_T9,12.0,12.0,12.0,17.0,12.0,12.0,12.0,13.0,19.0,12.0,12.0,12.0,12.0,11.0,8.0,12.0,2.0
class2Mut136_T14,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,14.0,15.0,15.0,15.0,15.0,6.0,10.0,15.0,7.0
class2Mut87_T10,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,2.0
class2Mut123_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,2.0,20.0,14.0,2.0,1.0
class2Mut106_T15,18.0,18.0,18.0,10.0,18.0,18.0,18.0,5.0,15.0,18.0,18.0,18.0,18.0,14.0,16.0,18.0,5.0
class2Mut67_T3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,6.0,14.0,18.0,6.0,3.0
class2Mut159_T3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,6.0,14.0,18.0,6.0,3.0
class2Mut47_T2,6.0,3.0,6.0,3.0,5.0,5.0,3.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
class2Mut63_T12,13.0,13.0,13.0,11.0,13.0,13.0,13.0,8.0,11.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,10.0
class2Mut31_T10,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,2.0
class2Mut32_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,2.0,20.0,14.0,2.0,1.0
class2Mut70_T2,6.0,3.0,6.0,4.0,4.0,4.0,3.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
class2Mut80_T8,10.0,10.0,10.0,3.0,10.0,10.0,10.0,1.0,5.0,10.0,10.0,10.0,10.0,18.0,20.0,10.0,4.0
class2Mut148_T13,14.0,14.0,14.0,4.0,14.0,14.0,14.0,2.0,6.0,14.0,14.0,14.0,14.0,19.0,21.0,14.0,5.0
class2Mut141_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,1.0,2.0,20.0,14.0,2.0,1.0
class2Mut46_T10,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,2.0
class2Mut146_T12,15.0,15.0,15.0,10.0,15.0,15.0,15.0,8.0,14.0,15.0,15.0,15.0,15.0,10.0,14.0,15.0,1.0
class2Mut13_T5,7.0,7.0,7.0,5.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,16.0,19.0,7.0,6.0
class2Mut66_T10,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,2.0
