,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1671,1805,1480,2190,830,93,1764,2942,163,2188,combine
median_Examscore(%),24.56,25.44,24.56,24.560000000000002,25.44,25.44,25.44,31.58,25.44,25.44,26.315,26.315,24.56,27.195,25.44,27.195,15.790000000000001,13.16,16.665,6.14,18.86,10.965,8.774999999999999,12.28,15.355,20.615000000000002,6.58
mean_Examscore(%),28.88153846153846,32.52423076923076,30.972307692307684,29.587307692307697,32.72730769230769,32.72730769230769,32.72730769230769,42.44307692307693,30.02730769230769,32.72730769230769,32.86230769230769,32.86230769230769,34.34653846153845,34.278846153846146,34.076538461538455,33.30076923076923,27.024230769230766,25.438846153846153,26.17961538461538,28.644999999999996,29.926538461538453,29.31961538461538,29.454615384615373,26.788846153846148,32.828076923076914,28.94730769230768,19.601923076923075
sd_Examscore(%),27.549344775120545,24.750306369510167,25.974547589160018,30.53418485012394,24.544662239711883,24.544662239711883,24.544662239711883,30.288794333116762,21.54892026208131,24.544662239711883,24.450812388580022,24.450812388580022,22.939831375545495,25.546750920917212,25.63999765090593,24.033627595197014,23.401706975872834,24.63298558062714,22.626389279912825,29.577527043348304,28.877050395399834,29.073018347707794,28.889294519703206,26.55316468173586,25.79532190444318,21.6529260023106,20.192159472276515
Total_acc1,8.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,8.0,8.0,8.0,7.0,7.0,0.0,0.0,8.0
Total_acc2,9.0,3.0,6.0,9.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,8.0,5.0,9.0,9.0,9.0,7.0,9.0,0.0,0.0,10.0
Total_acc3,9.0,3.0,6.0,9.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,10.0,7.0,9.0,9.0,9.0,7.0,9.0,1.0,1.0,12.0
Total_acc5,11.0,5.0,9.0,9.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,8.0,11.0,8.0,12.0,9.0,9.0,7.0,11.0,1.0,3.0,13.0
rate_acc1,0.3076923076923077,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.0,0.0,0.3076923076923077
rate_acc2,0.34615384615384615,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.19230769230769232,0.3076923076923077,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.0,0.0,0.38461538461538464
rate_acc3,0.34615384615384615,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.2692307692307692,0.38461538461538464,0.2692307692307692,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.038461538461538464,0.038461538461538464,0.46153846153846156
rate_acc5,0.4230769230769231,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.038461538461538464,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.15384615384615385,0.3076923076923077,0.4230769230769231,0.3076923076923077,0.46153846153846156,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.4230769230769231,0.038461538461538464,0.11538461538461539,0.5
