,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1671,1805,1480,2190,830,93,1764,2942,163,2188,combine
RM1Mut107_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,43.0,43.0,41.0,53.0,53.0,53.0,53.0,47.0,53.0,43.0,31.0
RM1Mut23_T52,1.0,29.0,24.0,2.0,29.0,29.0,29.0,24.0,29.0,29.0,31.0,31.0,28.0,32.0,29.0,32.0,19.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,3.0,25.0,1.0
RM1Mut158_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,43.0,43.0,41.0,53.0,53.0,53.0,53.0,47.0,53.0,43.0,31.0
RM1Mut17_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,66.0,66.0,64.0,76.0,76.0,76.0,76.0,70.0,76.0,66.0,54.0
RM1Mut195_T44,51.0,51.0,51.0,21.0,51.0,51.0,51.0,19.0,47.0,51.0,51.0,51.0,51.0,57.0,57.0,51.0,47.0,47.0,45.0,57.0,57.0,57.0,57.0,51.0,57.0,47.0,35.0
RM1Mut118_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,15.0,15.0,15.0,7.0,6.0,7.0,7.0,14.0,11.0,13.0,1.0
RM1Mut152_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,3.0,3.0,3.0,4.0,10.0,8.0,8.0,4.0,16.0,7.0,3.0
RM1Mut144_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,61.0,61.0,59.0,71.0,71.0,71.0,71.0,65.0,71.0,61.0,49.0
RM1Mut177_T2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,10.0,12.0,6.0,2.0,2.0,2.0,1.0,1.0,13.0,3.0,4.0
RM1Mut22_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,12.0,5.0,2.0
