,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2072,1169,1299,1793,2145,2799,1637,combine
median_Examscore(%),24.56,24.56,24.56,35.09,24.56,24.56,24.56,35.09,24.56,24.56,24.56,24.56,22.805,24.56,24.56,23.68,4.824999999999999,13.6,12.28,6.58,11.4,7.02,7.89,2.19
mean_Examscore(%),29.826153846153836,32.25423076923076,30.73538461538461,37.313846153846164,32.389615384615375,32.389615384615375,32.389615384615375,48.21192307692308,35.39153846153845,32.389615384615375,32.490769230769224,32.490769230769224,32.72730769230768,29.926153846153845,29.690384615384612,32.28846153846153,23.01076923076923,21.760769230769224,22.60538461538461,21.254999999999995,26.451153846153844,21.18846153846153,23.347692307692306,15.45230769230769
sd_Examscore(%),29.02973786680453,26.968871563056087,28.29402696411654,36.35011395601649,26.81112253983697,26.81112253983697,26.81112253983697,32.291333452705956,31.900740015530385,26.81112253983697,26.76113240101426,26.76113240101426,26.347650909740292,25.42522764136803,25.516962590523068,26.914143596601054,27.86751728060136,22.94826214301674,25.290560488968087,24.24558157685643,27.25308912060034,25.647960494715008,28.640942206246255,20.687640040892497
Total_acc1,10.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,7.0,7.0,7.0,7.0,10.0,10.0
Total_acc2,10.0,3.0,7.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,10.0,7.0,7.0,10.0,10.0,13.0
Total_acc3,10.0,3.0,9.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,14.0
Total_acc5,11.0,6.0,10.0,10.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,13.0,10.0,10.0,7.0,7.0,11.0,11.0,15.0
rate_acc1,0.38461538461538464,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.2692307692307692,0.15384615384615385,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.38461538461538464
rate_acc2,0.38461538461538464,0.11538461538461539,0.2692307692307692,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.38461538461538464,0.5
rate_acc3,0.38461538461538464,0.11538461538461539,0.34615384615384615,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.38461538461538464,0.5384615384615384
rate_acc5,0.4230769230769231,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.5,0.38461538461538464,0.38461538461538464,0.2692307692307692,0.2692307692307692,0.4230769230769231,0.4230769230769231,0.5769230769230769
