,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,31,814,2330,884,1924,346,combine
median_Examscore(%),53.12,53.12,53.12,45.98,53.12,53.12,53.12,47.32,52.23,53.12,53.12,53.12,53.12,53.12,53.12,53.12,40.18,46.88,40.62,44.2,38.84,38.84,34.38
mean_Examscore(%),48.21479999999999,48.376,48.12520000000001,48.19559999999999,48.446799999999996,48.446799999999996,48.446799999999996,52.250800000000005,47.85599999999999,48.446799999999996,48.464800000000004,48.464800000000004,50.8936,48.49999999999999,48.446799999999996,48.49999999999999,38.679199999999994,45.715199999999996,38.9648,44.412,37.4108,37.37519999999999,33.1076
sd_Examscore(%),31.523757326816234,31.39795534744261,31.64696129699237,28.544020109297847,31.31799306043306,31.31799306043306,31.31799306043306,25.20440684351317,30.958744456668995,31.31799306043306,31.299535289414973,31.299535289414973,28.2796491727414,31.28995632254329,31.31799306043306,31.24312657743033,27.218053126555546,28.795494890694275,27.411469181104952,30.171161175312207,27.11639816298126,27.152878011977542,26.894314498297465
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Total_acc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Total_acc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Total_acc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
rate_acc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
rate_acc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
rate_acc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
