,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,31,814,2330,884,1924,346,combine
RM2Mut192_T30,18.0,6.0,21.0,191.0,6.0,6.0,6.0,208.0,6.0,6.0,6.0,6.0,29.0,6.0,6.0,10.0,6.0,193.0,6.0,6.0,6.0,6.0,7.0
RM2Mut159_T30,18.0,6.0,21.0,191.0,6.0,6.0,6.0,208.0,6.0,6.0,6.0,6.0,29.0,6.0,6.0,10.0,6.0,193.0,6.0,6.0,6.0,6.0,7.0
RM2Mut128_T144,144.0,144.0,144.0,106.0,144.0,144.0,144.0,102.0,142.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,115.0,108.0,116.0,102.0,112.0,112.0,102.0
RM2Mut169_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,103.0,96.0,104.0,90.0,100.0,100.0,90.0
RM2Mut109_T118,118.0,118.0,118.0,80.0,118.0,118.0,118.0,76.0,116.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,89.0,82.0,90.0,76.0,86.0,86.0,76.0
RM2Mut155_T76,77.0,77.0,77.0,40.0,77.0,77.0,77.0,36.0,76.0,77.0,77.0,77.0,77.0,78.0,77.0,77.0,49.0,42.0,50.0,36.0,46.0,46.0,36.0
RM2Mut177_T152,152.0,152.0,152.0,114.0,152.0,152.0,152.0,110.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,123.0,116.0,124.0,110.0,120.0,120.0,110.0
RM2Mut142_T215,215.0,215.0,215.0,177.0,215.0,215.0,215.0,173.0,213.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,186.0,179.0,187.0,173.0,183.0,183.0,173.0
RM2Mut154_T56,64.0,64.0,64.0,27.0,64.0,64.0,64.0,21.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,36.0,29.0,37.0,23.0,33.0,33.0,23.0
RM2Mut198_T205,205.0,205.0,205.0,167.0,205.0,205.0,205.0,163.0,203.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,176.0,169.0,177.0,163.0,173.0,173.0,163.0
RM2Mut30_T76,77.0,77.0,77.0,40.0,77.0,77.0,77.0,36.0,76.0,77.0,77.0,77.0,77.0,78.0,77.0,77.0,49.0,42.0,50.0,36.0,46.0,46.0,36.0
RM2Mut118_T223,223.0,223.0,223.0,185.0,223.0,223.0,223.0,181.0,221.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,194.0,187.0,195.0,181.0,191.0,191.0,181.0
RM2Mut168_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,90.0,83.0,91.0,77.0,87.0,87.0,77.0
RM2Mut110_T148,13.0,26.0,10.0,8.0,27.0,27.0,27.0,106.0,27.0,27.0,27.0,27.0,53.0,27.0,27.0,27.0,20.0,6.0,18.0,211.0,13.0,13.0,1.0
RM2Mut107_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,24.0,12.0,24.0,208.0,19.0,20.0,3.0
RM2Mut1_T11,26.0,20.0,16.0,189.0,20.0,20.0,20.0,186.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,19.0,19.0,18.0,21.0,12.0,22.0,18.0,5.0
RM2Mut136_T141,141.0,141.0,141.0,103.0,141.0,141.0,141.0,99.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,112.0,105.0,113.0,99.0,109.0,109.0,99.0
RM2Mut138_T223,223.0,223.0,223.0,185.0,223.0,223.0,223.0,181.0,221.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,194.0,187.0,195.0,181.0,191.0,191.0,181.0
RM2Mut196_T152,152.0,152.0,152.0,114.0,152.0,152.0,152.0,110.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,123.0,116.0,124.0,110.0,120.0,120.0,110.0
RM2Mut165_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,85.0,78.0,86.0,72.0,82.0,82.0,72.0
RM2Mut17_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,90.0,83.0,91.0,77.0,87.0,87.0,77.0
RM2Mut167_T141,141.0,141.0,141.0,103.0,141.0,141.0,141.0,99.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,112.0,105.0,113.0,99.0,109.0,109.0,99.0
RM2Mut24_T148,13.0,26.0,10.0,8.0,27.0,27.0,27.0,106.0,27.0,27.0,27.0,27.0,53.0,27.0,27.0,27.0,20.0,6.0,18.0,211.0,13.0,13.0,1.0
RM2Mut150_T161,161.0,161.0,161.0,123.0,161.0,161.0,161.0,119.0,159.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,132.0,125.0,133.0,119.0,129.0,129.0,119.0
RM2Mut29_T57,22.0,11.0,24.0,203.0,11.0,11.0,11.0,212.0,11.0,11.0,11.0,11.0,45.0,11.0,11.0,6.0,13.0,200.0,13.0,9.0,12.0,13.0,6.0
