,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2500,1424,469,1427,508,1350,877,556,combine
median_Examscore(%),32.14,32.14,32.14,33.93,32.14,32.14,32.14,40.18,31.7,32.14,32.14,32.14,32.14,32.59,32.14,32.14,20.09,19.64,20.54,20.54,20.54,33.93,20.09,19.2,12.05
mean_Examscore(%),40.0892,40.64319999999999,40.17839999999999,34.1068,40.73159999999999,40.73159999999999,40.73159999999999,41.5712,40.2492,40.73159999999999,40.767599999999995,40.767599999999995,42.5004,40.90999999999999,40.73159999999999,41.1604,33.053200000000004,32.5896,33.0724,33.1436,33.2864,34.3384,31.178800000000003,30.3752,23.9828
sd_Examscore(%),28.273649970717727,27.80483721705032,28.20087715538886,27.84521124598147,27.71922222333568,27.71922222333568,27.71922222333568,27.541083905080182,27.346950000563744,27.71922222333568,27.6876291990966,27.6876291990966,25.978279946909492,27.628786015072514,27.71922222333568,27.162467745033773,26.746851172926256,26.429036664244876,26.892924608528542,27.08154105044,26.92069106344288,28.3835221680937,24.357487952030958,24.240272811996157,23.400851572823868
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0
Total_acc2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0
Total_acc3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
Total_acc5,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.08
rate_acc2,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.12
rate_acc3,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16
rate_acc5,0.0,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.0,0.08,0.04,0.04,0.04,0.04,0.08,0.08,0.24
